,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,105
mediansTime,1.63589258883773
mediansEvent_length,0.467537962419937
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.0218886375539192
mediansLa139Di,0.0358371403608844
mediansCe140Di,0
mediansPr141Di,0.387631740939097
mediansNd142Di,0.0271127800778261
mediansNd143Di,0.0705284460033091
mediansNd144Di,0
mediansNd145Di,0.0407530890718919
mediansNd146Di,0.00243637320762977
mediansSm147Di,0
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.577824831718575
mediansEu153Di,0
mediansSm154Di,0.609792427742422
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.0115994594096696
mediansTb159Di,0
mediansGd160Di,0.0216727292206721
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.155841029448166
mediansEr166Di,0.0297604676051378
mediansEr167Di,0
mediansEr168Di,0.0168130850937192
mediansTm169Di,0
mediansEr170Di,0.209902815520576
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0975347582251309
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.833193933073653
mediansIr193Di,0.927642474896687
raw_mediansTime,12.3481502532959
raw_mediansEvent_length,2.42379212379456
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.109451927244663
raw_mediansLa139Di,0.17922405898571
raw_mediansCe140Di,0
raw_mediansPr141Di,1.98706209659576
raw_mediansNd142Di,0.135580509901047
raw_mediansNd143Di,0.352934658527374
raw_mediansNd144Di,0
raw_mediansNd145Di,0.20382185280323
raw_mediansNd146Di,0.0121818780899048
raw_mediansSm147Di,0
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,3.05260038375854
raw_mediansEu153Di,0
raw_mediansSm154Di,3.24146437644958
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0579985976219177
raw_mediansTb159Di,0
raw_mediansGd160Di,0.108372129499912
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.782362997531891
raw_mediansEr166Di,0.14882430434227
raw_mediansEr167Di,0
raw_mediansEr168Di,0.0840693861246109
raw_mediansTm169Di,0
raw_mediansEr170Di,1.05723786354065
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.488447368144989
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.66499090194702
raw_mediansIr193Di,5.33264017105103
cvsTime,6.90984399433032
cvsEvent_length,9.22172824764401
cvsRh103Di,279.121257839613
cvsIn113Di,554.058812640028
cvsIn115Di,500.796766114594
cvsXe131Di,162.625214188627
cvsCs133Di,374.146271819751
cvsBa138Di,185.650363517363
cvsLa139Di,118.774672448807
cvsCe140Di,415.754232675657
cvsPr141Di,55.8038179739398
cvsNd142Di,128.224624710222
cvsNd143Di,87.8439310986586
cvsNd144Di,223.44855339383
cvsNd145Di,8.1779717153467
cvsNd146Di,169.551892037844
cvsSm147Di,305.22405755223
cvsNd148Di,192.998079076878
cvsSm149Di,178.258135544739
cvsNd150Di,234.44704190256
cvsEu151Di,166.038963192888
cvsSm152Di,2.78033945253804
cvsEu153Di,171.512656226075
cvsSm154Di,19.9806975894459
cvsGd155Di,186.951825583511
cvsGd156Di,166.052533765851
cvsGd158Di,137.374129780747
cvsTb159Di,162.486303592123
cvsGd160Di,129.876736535526
cvsDy161Di,154.975220011265
cvsDy162Di,270.72831352495
cvsDy163Di,154.792784527862
cvsDy164Di,167.584959032397
cvsHo165Di,61.805038527543
cvsEr166Di,116.444005009471
cvsEr167Di,263.547418767054
cvsEr168Di,122.820775957715
cvsTm169Di,247.883902428048
cvsEr170Di,71.7099112916169
cvsYb171Di,227.53514210064
cvsYb172Di,207.616695066191
cvsYb173Di,202.018400982506
cvsYb174Di,79.4054637588028
cvsLu175Di,227.774126945415
cvsYb176Di,160.165932577762
cvsBCKG190Di,367.850935000473
cvsIr191Di,5.13631195547557
cvsIr193Di,4.04335684075695
percenttotal,0.123855808247617
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,1
raw_foldNd146Di,1
raw_foldSm147Di,NA
raw_foldNd148Di,NA
raw_foldSm149Di,NA
raw_foldNd150Di,NA
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,NA
raw_foldGd156Di,NA
raw_foldGd158Di,1
raw_foldTb159Di,NA
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,NA
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,1
raw_foldEr167Di,NA
raw_foldEr168Di,1
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,NA
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
