,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,146
mediansTime,1.65061749321943
mediansEvent_length,0.473749793018526
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00549754881092343
mediansLa139Di,0.0341253593760437
mediansCe140Di,0
mediansPr141Di,0.0722733266205885
mediansNd142Di,0
mediansNd143Di,0.0925050861488997
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0.00165140523658378
mediansSm147Di,0
mediansNd148Di,0.112155172207952
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0.0231281347740965
mediansSm152Di,0.348325058715462
mediansEu153Di,0.00838014459743003
mediansSm154Di,0.638373542083884
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.0179286359455386
mediansTb159Di,0
mediansGd160Di,0.0442502715428964
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.0094975496383468
mediansDy164Di,0
mediansHo165Di,0.194551124408534
mediansEr166Di,0.00606589485585007
mediansEr167Di,0
mediansEr168Di,0.0237313332837839
mediansTm169Di,0
mediansEr170Di,0.112350038846486
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.133680255307442
mediansLu175Di,0
mediansYb176Di,0.00639878667843231
mediansBCKG190Di,0
mediansIr191Di,0.836703568414111
mediansIr193Di,0.922984210701465
raw_mediansTime,12.5456619262695
raw_mediansEvent_length,2.45835518836975
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0274878833442926
raw_mediansLa139Di,0.170659989118576
raw_mediansCe140Di,0
raw_mediansPr141Di,0.361681446433067
raw_mediansNd142Di,0
raw_mediansNd143Di,0.463185608386993
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0.008257030043751
raw_mediansSm147Di,0
raw_mediansNd148Di,0.561952263116837
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0.115651041269302
raw_mediansSm152Di,1.77705824375153
raw_mediansEu153Di,0.0419012326747179
raw_mediansSm154Di,3.41312026977539
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0896480418741703
raw_mediansTb159Di,0
raw_mediansGd160Di,0.221323572099209
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.0474884621798992
raw_mediansDy164Di,0
raw_mediansHo165Di,0.978903740644455
raw_mediansEr166Di,0.030329660512507
raw_mediansEr167Di,0
raw_mediansEr168Di,0.11866781488061
raw_mediansTm169Di,0
raw_mediansEr170Di,0.562932729721069
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.670393854379654
raw_mediansLu175Di,0
raw_mediansYb176Di,0.0319941556081176
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.68902039527893
raw_mediansIr193Di,5.29864597320557
cvsTime,5.27369882912309
cvsEvent_length,8.91976042118999
cvsRh103Di,490.096417543583
cvsIn113Di,758.396923393381
