,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,28
mediansTime,1.60279636970024
mediansEvent_length,0.467537962419937
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.0058468285047435
mediansLa139Di,0.222202707087064
mediansCe140Di,0
mediansPr141Di,0.465400770760737
mediansNd142Di,0.149248592394397
mediansNd143Di,0.0249840309037542
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.621398904712323
mediansNd148Di,0.156838787862932
mediansSm149Di,0.0235372498473144
mediansNd150Di,0.0653706586122267
mediansEu151Di,0.0059123609881209
mediansSm152Di,0.59728790636094
mediansEu153Di,0.0157951827327553
mediansSm154Di,0.81420900182372
mediansGd155Di,0.0381241055573288
mediansGd156Di,0
mediansGd158Di,0.021762353047354
mediansTb159Di,0.0505960808434156
mediansGd160Di,0.0433238304961445
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.0319140698865016
mediansDy164Di,0
mediansHo165Di,0.307251865835592
mediansEr166Di,0.0396267326866642
mediansEr167Di,0
mediansEr168Di,0.0313691242512757
mediansTm169Di,0
mediansEr170Di,0.460536310198395
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.135101286979304
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.850799114250073
mediansIr193Di,0.926232646433774
raw_mediansTime,11.9151825904846
raw_mediansEvent_length,2.42379212379456
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0292344386689365
raw_mediansLa139Di,1.12055689096451
raw_mediansCe140Di,0
raw_mediansPr141Di,2.41192305088043
raw_mediansNd142Di,0.749023407697678
raw_mediansNd143Di,0.124933436512947
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,3.31089222431183
raw_mediansNd148Di,0.787413060665131
raw_mediansSm149Di,0.117697492241859
raw_mediansNd150Di,0.327100291848183
raw_mediansEu151Di,0.0295620802789927
raw_mediansSm152Di,3.16720414161682
raw_mediansEu153Di,0.078983030281961
raw_mediansSm154Di,4.53602433204651
raw_mediansGd155Di,0.190675467252731
raw_mediansGd156Di,0
raw_mediansGd158Di,0.10882068797946
raw_mediansTb159Di,0.253088384866714
raw_mediansGd160Di,0.216688431799412
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.15959770232439
raw_mediansDy164Di,0
raw_mediansHo165Di,1.56069314479828
raw_mediansEr166Di,0.198185689747334
raw_mediansEr167Di,0
raw_mediansEr168Di,0.156871847808361
raw_mediansTm169Di,0
raw_mediansEr170Di,2.38518834114075
raw_mediansYb171Di,0
raw_mediansYb172Di,0
