,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,88
mediansTime,1.63748917879002
mediansEvent_length,0.46108947710583
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.0122146664192281
mediansLa139Di,0.0369053398458054
mediansCe140Di,0
mediansPr141Di,0.0502247189894511
mediansNd142Di,0
mediansNd143Di,0.0267297939282055
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.115338799609498
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.0876207615720617
mediansEu153Di,0
mediansSm154Di,0.362453030979415
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.00210236026750345
mediansTb159Di,0
mediansGd160Di,0.00374589107350115
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.100977642191726
mediansEr166Di,0
mediansEr167Di,0
mediansEr168Di,0
mediansTm169Di,0
mediansEr170Di,0.083057644809393
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0614691407296881
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.846405386848756
mediansIr193Di,0.927498263140109
raw_mediansTime,12.3694596290588
raw_mediansEvent_length,2.38801121711731
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0610748622566462
raw_mediansLa139Di,0.184568762779236
raw_mediansCe140Di,0
raw_mediansPr141Di,0.251229293644428
raw_mediansNd142Di,0
raw_mediansNd143Di,0.133664891123772
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0.577973484992981
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,0.43866465985775
raw_mediansEu153Di,0
raw_mediansSm154Di,1.85221368074417
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0105118323117495
raw_mediansTb159Di,0
raw_mediansGd160Di,0.0187295542564243
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.50574666261673
raw_mediansEr166Di,0
raw_mediansEr167Di,0
raw_mediansEr168Di,0
raw_mediansTm169Di,0
raw_mediansEr170Di,0.415765881538391
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.307539418339729
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.75574445724487
raw_mediansIr193Di,5.33158802986145
cvsTime,5.51396240162679
cvsEvent_length,9.85872706669689
cvsRh103Di,350.438503172833
cvsIn113Di,NA
cvsIn115Di,545.697251974148
cvsXe131Di,206.463814087327
cvsCs133Di,410.835582020645
cvsBa138Di,145.054782715532
cvsLa139Di,121.762086395911
cvsCe140Di,488.761619285221
cvsPr141Di,110.823519051651
cvsNd142Di,149.869711159912
cvsNd143Di,124.060296627154
cvsNd144Di,314.12952743769
cvsNd145Di,643.203607272346
