,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,87
mediansTime,1.629772185554
mediansEvent_length,0.467537962419937
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.0182899440203012
mediansLa139Di,0.170578193791433
mediansCe140Di,0
mediansPr141Di,0.114489670924932
mediansNd142Di,0.147136932998494
mediansNd143Di,0.0179761011691248
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.329064252098657
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0.093372566879963
mediansEu151Di,0
mediansSm152Di,0.0944828920895357
mediansEu153Di,0
mediansSm154Di,0.770620027617199
mediansGd155Di,0.017306742364328
mediansGd156Di,0
mediansGd158Di,0.000970306188348755
mediansTb159Di,0.26117192570648
mediansGd160Di,0.0251902075453638
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.230217868216953
mediansEr166Di,0.0148658805251034
mediansEr167Di,0
mediansEr168Di,0.00523239743330862
mediansTm169Di,0
mediansEr170Di,0.23110397259231
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.118851048305817
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.818479080429813
mediansIr193Di,0.904447415108056
raw_mediansTime,12.2668447494507
raw_mediansEvent_length,2.42379212379456
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0914548188447952
raw_mediansLa139Di,0.85703307390213
raw_mediansCe140Di,0
raw_mediansPr141Di,0.573699772357941
raw_mediansNd142Di,0.738342046737671
raw_mediansNd143Di,0.0898853465914726
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,1.67517590522766
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0.467541515827179
raw_mediansEu151Di,0
raw_mediansSm152Di,0.473117649555206
raw_mediansEu153Di,0
raw_mediansSm154Di,4.24594926834106
raw_mediansGd155Di,0.0865380316972733
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0048515317030251
raw_mediansTb159Di,1.32075595855713
raw_mediansGd160Di,0.125964358448982
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,1.16128432750702
raw_mediansEr166Di,0.0743321403861046
raw_mediansEr167Di,0
raw_mediansEr168Di,0.0261621065437794
raw_mediansTm169Di,0
raw_mediansEr170Di,1.16583323478699
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.595655262470245
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.56486797332764
raw_mediansIr193Di,5.16450214385986
cvsTime,4.75063086124154
cvsEvent_length,9.08875097240074
cvsRh103Di,365.757919100495
cvsIn113Di,932.737905308881
cvsIn115Di,693.713970011784
cvsXe131Di,168.97208309523
cvsCs133Di,404.893208917921
cvsBa138Di,191.976480167479
cvsLa139Di,53.9600138811033
cvsCe140Di,353.140490801528
cvsPr141Di,72.3788041832722
cvsNd142Di,58.504101794515
cvsNd143Di,131.656727025583
cvsNd144Di,202.164379145246
cvsNd145Di,321.042515530579
cvsNd146Di,187.621991536017
cvsSm147Di,3.14700434222133
cvsNd148Di,156.347928821239
cvsSm149Di,164.116929504168
cvsNd150Di,98.4189860869765
cvsEu151Di,230.454306251131
cvsSm152Di,21.0298960309931
cvsEu153Di,308.215396566894
cvsSm154Di,8.69025107149995
cvsGd155Di,121.210926147266
cvsGd156Di,290.371799427996
cvsGd158Di,159.133730540506
cvsTb159Di,44.4062358508404
cvsGd160Di,119.447490989189
cvsDy161Di,217.812357778207
cvsDy162Di,397.508157719601
cvsDy163Di,148.100570136342
cvsDy164Di,176.312115752614
cvsHo165Di,56.4548291041972
cvsEr166Di,126.454249647145
cvsEr167Di,267.32639013416
cvsEr168Di,139.496758994674
cvsTm169Di,260.198420263669
cvsEr170Di,45.9582386860506
cvsYb171Di,257.243334000273
cvsYb172Di,291.930506253395
cvsYb173Di,204.667400579285
cvsYb174Di,94.7443979856798
cvsLu175Di,252.013124150441
cvsYb176Di,167.200153652633
cvsBCKG190Di,448.421846993065
cvsIr191Di,4.80745094737535
cvsIr193Di,3.88812584370945
percenttotal,0.102623383976597
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,NA
raw_foldNd146Di,NA
raw_foldSm147Di,1
raw_foldNd148Di,NA
raw_foldSm149Di,NA
raw_foldNd150Di,1
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,1
raw_foldGd156Di,NA
raw_foldGd158Di,1
raw_foldTb159Di,1
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,NA
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,1
raw_foldEr167Di,NA
raw_foldEr168Di,1
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,NA
