,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,146
mediansTime,1.65122546316575
mediansEvent_length,0.473749793018526
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00318030923951174
mediansLa139Di,0.0158567652168224
mediansCe140Di,0
mediansPr141Di,0.447810089273735
mediansNd142Di,0.0566644772403287
mediansNd143Di,0.0522345514161059
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.57749721705489
mediansEu153Di,0
mediansSm154Di,0.602175760475333
mediansGd155Di,0
mediansGd156Di,0.01042364129777
mediansGd158Di,0.00107966491352932
mediansTb159Di,0
mediansGd160Di,0.0270471777636732
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.124668966673851
mediansEr166Di,0.0355351060483166
mediansEr167Di,0.0670296937160081
mediansEr168Di,0.0366589191486566
mediansTm169Di,0
mediansEr170Di,0.384285806300875
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0814071305128114
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.837293418187482
mediansIr193Di,0.926270029326768
raw_mediansTime,12.5538754463196
raw_mediansEvent_length,2.45835518836975
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0159015743993223
raw_mediansLa139Di,0.0792871490120888
raw_mediansCe140Di,0
raw_mediansPr141Di,2.31465876102448
raw_mediansNd142Di,0.283474043011665
raw_mediansNd143Di,0.261291548609734
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,3.05068135261536
raw_mediansEu153Di,0
raw_mediansSm154Di,3.19617402553558
raw_mediansGd155Di,0
raw_mediansGd156Di,0.0521191507577896
raw_mediansGd158Di,0.00539832562208176
raw_mediansTb159Di,0
raw_mediansGd160Di,0.135252423584461
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.624961644411087
raw_mediansEr166Di,0.177712932229042
raw_mediansEr167Di,0.335399508476257
raw_mediansEr168Di,0.183335654437542
raw_mediansTm169Di,0
raw_mediansEr170Di,1.96907234191895
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.407485693693161
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.69306373596191
raw_mediansIr193Di,5.32261252403259
cvsTime,5.75858053704798
cvsEvent_length,9.57458968843827
cvsRh103Di,353.802285105652
cvsIn113Di,709.129615892151
cvsIn115Di,532.070618946853
cvsXe131Di,174.890244647279
cvsCs133Di,429.509923065613
cvsBa138Di,179.915525922109
cvsLa139Di,129.740414422858
cvsCe140Di,297.433423302069
cvsPr141Di,43.5105845591953
cvsNd142Di,108.047798284665
cvsNd143Di,96.9668172301744
cvsNd144Di,265.282854555656
cvsNd145Di,505.083769699863
cvsNd146Di,188.669997193254
cvsSm147Di,279.715092832151
