,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,215
mediansTime,1.64930828310786
mediansEvent_length,0.454386906129368
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.015142394088832
mediansLa139Di,0
mediansCe140Di,0
mediansPr141Di,0
mediansNd142Di,0
mediansNd143Di,0.0321311019936272
mediansNd144Di,0
mediansNd145Di,0.0390433410264831
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.0471874457488647
mediansEu153Di,0
mediansSm154Di,0.211150180940629
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.00327268366441807
mediansTb159Di,0
mediansGd160Di,0
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.0589931499238428
mediansEr166Di,0
mediansEr167Di,0
mediansEr168Di,0.0123632261719734
mediansTm169Di,0
mediansEr170Di,0.0432982565615494
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0223903782360034
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.848240895335558
mediansIr193Di,0.931065325446312
raw_mediansTime,12.5279912948608
raw_mediansEvent_length,2.35092568397522
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0757148638367653
raw_mediansLa139Di,0
raw_mediansCe140Di,0
raw_mediansPr141Di,0
raw_mediansNd142Di,0
raw_mediansNd143Di,0.160683155059814
raw_mediansNd144Di,0
raw_mediansNd145Di,0.195266306400299
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,0.236024796962738
raw_mediansEu153Di,0
raw_mediansSm154Di,1.0636134147644
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0163634475320578
raw_mediansTb159Di,0
raw_mediansGd160Di,0
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.295136868953705
raw_mediansEr166Di,0
raw_mediansEr167Di,0
raw_mediansEr168Di,0.0618177056312561
raw_mediansTm169Di,0
raw_mediansEr170Di,0.216558933258057
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.111961245536804
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.76841831207275
raw_mediansIr193Di,5.35769271850586
cvsTime,5.79138852328726
cvsEvent_length,9.52769969029163
cvsRh103Di,518.766832015015
cvsIn113Di,745.943168394199
cvsIn115Di,1037.11813747092
cvsXe131Di,176.59689139628
cvsCs133Di,429.63283253111
cvsBa138Di,163.995958779585
cvsLa139Di,239.610885396037
cvsCe140Di,376.7795480265
cvsPr141Di,170.253185228313
cvsNd142Di,260.382239138655
cvsNd143Di,115.442766077545
cvsNd144Di,403.809298423252
cvsNd145Di,11.4844041152074
cvsNd146Di,220.654352689407
cvsSm147Di,698.396330072042
cvsNd148Di,350.005705931773
cvsSm149Di,394.967040952337
cvsNd150Di,383.108377676119
cvsEu151Di,216.225368694132
cvsSm152Di,26.8516408139386
cvsEu153Di,318.455132719261
cvsSm154Di,56.9190985123783
cvsGd155Di,378.222001183435
cvsGd156Di,562.876524442486
cvsGd158Di,213.074392082259
cvsTb159Di,292.809809974711
cvsGd160Di,160.614378341059
cvsDy161Di,318.895439125183
cvsDy162Di,528.686311535674
cvsDy163Di,193.669759150359
cvsDy164Di,204.803499353221
cvsHo165Di,100.210090485669
cvsEr166Di,193.410903275896
cvsEr167Di,335.489464728869
cvsEr168Di,132.245827449371
cvsTm169Di,287.920117225151
cvsEr170Di,113.551608509293
cvsYb171Di,444.403959440748
cvsYb172Di,340.961584015015
cvsYb173Di,281.693249931193
cvsYb174Di,131.919508985223
cvsLu175Di,381.625138327154
cvsYb176Di,212.022222279355
cvsBCKG190Di,404.864531002056
cvsIr191Di,5.26698093992033
cvsIr193Di,4.55574875014875
percenttotal,0.253609512126073
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
