,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,167
mediansTime,1.65340725769142
mediansEvent_length,0.473749793018526
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0
mediansLa139Di,0
mediansCe140Di,0
mediansPr141Di,0
mediansNd142Di,0
mediansNd143Di,0.0234336356411017
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0.145257431084521
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.00848835795057976
mediansEu153Di,0
mediansSm154Di,0.207907579996263
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0
mediansTb159Di,0
mediansGd160Di,0.00298582877620104
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.106620687556239
mediansEr166Di,0.00604122704167403
mediansEr167Di,0
mediansEr168Di,0.000423358507846316
mediansTm169Di,0
mediansEr170Di,0.0817727348478942
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0622220617512405
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.842826644638337
mediansIr193Di,0.931030448891516
raw_mediansTime,12.5833873748779
raw_mediansEvent_length,2.45835518836975
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0
raw_mediansLa139Di,0
raw_mediansCe140Di,0
raw_mediansPr141Di,0
raw_mediansNd142Di,0
raw_mediansNd143Di,0.117178902029991
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0.728843927383423
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,0.042442299425602
raw_mediansEu153Di,0
raw_mediansSm154Di,1.04704320430756
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0
raw_mediansTb159Di,0
raw_mediansGd160Di,0.0149291660636663
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.534114062786102
raw_mediansEr166Di,0.0302063189446926
raw_mediansEr167Di,0
raw_mediansEr168Di,0.00211679260246456
raw_mediansTm169Di,0
raw_mediansEr170Di,0.409319490194321
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.311311095952988
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.73107957839966
raw_mediansIr193Di,5.35743713378906
cvsTime,6.13335407366406
cvsEvent_length,8.81117698662693
cvsRh103Di,454.28813191372
cvsIn113Di,921.290327949454
cvsIn115Di,934.796619755787
cvsXe131Di,161.420507232412
cvsCs133Di,401.058147941232
cvsBa138Di,161.088942224728
cvsLa139Di,230.32964616553
cvsCe140Di,329.814927676201
cvsPr141Di,166.840029945669
cvsNd142Di,259.034501672861
cvsNd143Di,126.632561979664
cvsNd144Di,330.478371635044
cvsNd145Di,1292.28479833201
cvsNd146Di,297.308734185042
cvsSm147Di,543.690569960533
cvsNd148Di,16.1685821633148
cvsSm149Di,521.078214937748
cvsNd150Di,324.621802743854
cvsEu151Di,186.438980029575
cvsSm152Di,114.543675006697
cvsEu153Di,220.147509238589
cvsSm154Di,67.1188789120398
cvsGd155Di,415.836336191358
cvsGd156Di,378.070958003741
cvsGd158Di,150.014014637928
cvsTb159Di,309.465755767034
cvsGd160Di,136.050893621169
cvsDy161Di,411.708817665711
cvsDy162Di,422.850285412953
cvsDy163Di,197.178309353056
cvsDy164Di,184.212838688517
cvsHo165Di,99.6795503426446
cvsEr166Di,161.319392920168
cvsEr167Di,391.986001943247
cvsEr168Di,171.282751326908
cvsTm169Di,260.421044143457
cvsEr170Di,100.150304124978
cvsYb171Di,339.610120245021
cvsYb172Di,341.122490330893
cvsYb173Di,246.141043961059
cvsYb174Di,123.499681080449
