,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,37
mediansTime,1.61260322297086
mediansEvent_length,0.467537962419937
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.0261892897475046
mediansLa139Di,0
mediansCe140Di,0
mediansPr141Di,0
mediansNd142Di,0
mediansNd143Di,0.000737966949193176
mediansNd144Di,0
mediansNd145Di,0.0628294018274006
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0.0637225530789219
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0.0077444040015287
mediansSm152Di,0.00328937473775908
mediansEu153Di,0
mediansSm154Di,0.210787633497565
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0
mediansTb159Di,0
mediansGd160Di,0.0115413733561028
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.0933183781337924
mediansEr166Di,0.00811498348215323
mediansEr167Di,0
mediansEr168Di,0
mediansTm169Di,0
mediansEr170Di,0.0522480204357593
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0498301524868565
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.846335471219951
mediansIr193Di,0.932226805140197
raw_mediansTime,12.0412092208862
raw_mediansEvent_length,2.42379212379456
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.130961418151855
raw_mediansLa139Di,0
raw_mediansCe140Di,0
raw_mediansPr141Di,0
raw_mediansNd142Di,0
raw_mediansNd143Di,0.00368983508087695
raw_mediansNd144Di,0
raw_mediansNd145Di,0.314353734254837
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0.31882843375206
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0.0387224070727825
raw_mediansSm152Di,0.0164469033479691
raw_mediansEu153Di,0
raw_mediansSm154Di,1.06176018714905
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0
raw_mediansTb159Di,0
raw_mediansGd160Di,0.0577081479132175
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.467269390821457
raw_mediansEr166Di,0.0405753627419472
raw_mediansEr167Di,0
raw_mediansEr168Di,0
raw_mediansTm169Di,0
raw_mediansEr170Di,0.261358976364136
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.249253883957863
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.75526189804077
raw_mediansIr193Di,5.36620807647705
cvsTime,7.46177153037292
cvsEvent_length,8.4785396230495
cvsRh103Di,326.058318213409
cvsIn113Di,NA
cvsIn115Di,608.276253029822
cvsXe131Di,173.558913521951
cvsCs133Di,386.059342279621
cvsBa138Di,137.581117245241
cvsLa139Di,189.866953808838
cvsCe140Di,238.197192396757
cvsPr141Di,170.293799606757
cvsNd142Di,228.138015053586
cvsNd143Di,153.799336143909
cvsNd144Di,364.879071489013
cvsNd145Di,12.85518410861
cvsNd146Di,255.24331388209
cvsSm147Di,608.276253029822
cvsNd148Di,53.4917512751388
cvsSm149Di,282.700421388476
cvsNd150Di,479.454413481358
cvsEu151Di,164.573567216199
cvsSm152Di,121.871957091875
cvsEu153Di,299.07138934764
cvsSm154Di,52.5278214634883
cvsGd155Di,291.767482928309
cvsGd156Di,608.276253029822
cvsGd158Di,169.505127587161
cvsTb159Di,403.25713630466
cvsGd160Di,143.642099221199
cvsDy161Di,418.249260649849
cvsDy162Di,326.867395991743
cvsDy163Di,176.448187092664
cvsDy164Di,199.648120295682
cvsHo165Di,96.8393458165349
cvsEr166Di,178.594132183185
cvsEr167Di,253.688888408405
cvsEr168Di,172.715567385095
cvsTm169Di,278.086444050171
cvsEr170Di,99.5591108827677
cvsYb171Di,286.33169008578
cvsYb172Di,337.29670427497
cvsYb173Di,168.748624879429
cvsYb174Di,139.886214526979
cvsLu175Di,282.158008725606
cvsYb176Di,161.210665642149
cvsBCKG190Di,608.276253029822
cvsIr191Di,4.87364365304301
cvsIr193Di,4.23202538542463
percenttotal,0.043644427668208
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,NA
raw_foldCe140Di,NA
raw_foldPr141Di,NA
raw_foldNd142Di,NA
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,1
raw_foldNd146Di,NA
raw_foldSm147Di,NA
raw_foldNd148Di,1
raw_foldSm149Di,NA
raw_foldNd150Di,NA
raw_foldEu151Di,1
raw_foldSm152Di,1
