,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,104
mediansTime,1.65149417233445
mediansEvent_length,0.467537962419937
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00663320624987293
mediansLa139Di,0.190121632652005
mediansCe140Di,0
mediansPr141Di,0.17333945632688
mediansNd142Di,0.18998688136712
mediansNd143Di,0.0629866017278046
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.341062142069585
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0.156775235473037
mediansEu151Di,0
mediansSm152Di,0.226041051360924
mediansEu153Di,0
mediansSm154Di,0.807732812243183
mediansGd155Di,0.0146913126032064
mediansGd156Di,0
mediansGd158Di,0.0145906923480312
mediansTb159Di,0.258404136589386
mediansGd160Di,0.0233361272084656
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.221732981905836
mediansEr166Di,0.0229295330056917
mediansEr167Di,0
mediansEr168Di,0
mediansTm169Di,0
mediansEr170Di,0.264920795442162
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.145375694934215
mediansLu175Di,0
mediansYb176Di,0.00256480186763344
mediansBCKG190Di,0
mediansIr191Di,0.824880371851893
mediansIr193Di,0.908806502194233
raw_mediansTime,12.5575075149536
raw_mediansEvent_length,2.42379212379456
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0331662856042385
raw_mediansLa139Di,0.95634537935257
raw_mediansCe140Di,0
raw_mediansPr141Di,0.871047347784042
raw_mediansNd142Di,0.955659598112106
raw_mediansNd143Di,0.315141290426254
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,1.7385647892952
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0.787092536687851
raw_mediansEu151Di,0
raw_mediansSm152Di,1.13985443115234
raw_mediansEu153Di,0
raw_mediansSm154Di,4.49237394332886
raw_mediansGd155Di,0.0734592340886593
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0729560777544975
raw_mediansTb159Di,1.30644738674164
raw_mediansGd160Di,0.116691246628761
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,1.11777210235596
raw_mediansEr166Di,0.11465771868825
raw_mediansEr167Di,0
raw_mediansEr168Di,0
raw_mediansTm169Di,0
raw_mediansEr170Di,1.34015256166458
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.72944375872612
raw_mediansLu175Di,0
raw_mediansYb176Di,0.0128240250051022
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.60830116271973
raw_mediansIr193Di,5.19588613510132
cvsTime,6.1558368126298
cvsEvent_length,8.50708550980484
cvsRh103Di,388.836566666962
cvsIn113Di,721.586515806208
cvsIn115Di,596.666948018967
cvsXe131Di,187.206455776781
cvsCs133Di,392.401456419921
cvsBa138Di,165.729638195717
cvsLa139Di,51.9078735413427
cvsCe140Di,366.540499342512
cvsPr141Di,62.6112318353039
cvsNd142Di,54.0591750379804
cvsNd143Di,92.823190132024
cvsNd144Di,234.762905166365
cvsNd145Di,376.201098385876
cvsNd146Di,160.763755623239
cvsSm147Di,2.11214569220071
cvsNd148Di,214.080820020687
cvsSm149Di,205.422074725082
cvsNd150Di,79.7100327859128
cvsEu151Di,178.661806516431
cvsSm152Di,8.71385952975575
cvsEu153Di,223.726312809762
cvsSm154Di,6.06860145852508
cvsGd155Di,133.974440181258
cvsGd156Di,304.231553787996
cvsGd158Di,143.579357990688
cvsTb159Di,49.8148632617339
cvsGd160Di,118.160733756812
cvsDy161Di,187.618567498537
cvsDy162Di,294.28637995084
cvsDy163Di,165.922436273861
cvsDy164Di,182.609225569112
cvsHo165Di,63.9304901062227
cvsEr166Di,114.259778871565
cvsEr167Di,294.145511696643
cvsEr168Di,173.245851703089
cvsTm169Di,279.310539235215
cvsEr170Di,44.1286407219692
cvsYb171Di,274.15094871878
cvsYb172Di,223.026957649388
cvsYb173Di,219.706488814789
cvsYb174Di,87.2095328260119
cvsLu175Di,204.372109670996
cvsYb176Di,268.386341413222
cvsBCKG190Di,468.77732521153
cvsIr191Di,4.84533389200993
cvsIr193Di,4.33456377743175
percenttotal,0.122676229121449
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,NA
raw_foldNd146Di,NA
raw_foldSm147Di,1
raw_foldNd148Di,NA
raw_foldSm149Di,NA
raw_foldNd150Di,1
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,1
raw_foldGd156Di,NA
raw_foldGd158Di,1
raw_foldTb159Di,1
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,NA
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,1
raw_foldEr167Di,NA
raw_foldEr168Di,NA
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,1
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
