,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,92
mediansTime,1.61717937997395
mediansEvent_length,0.470643877719231
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00233010942485766
mediansLa139Di,0.0446494770868559
mediansCe140Di,0
mediansPr141Di,0.271331552150985
mediansNd142Di,0.0242410802939684
mediansNd143Di,0.0686113514054177
mediansNd144Di,0
mediansNd145Di,0.0663603920892132
mediansNd146Di,0.0109602462295409
mediansSm147Di,0
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.54393966072716
mediansEu153Di,0
mediansSm154Di,0.670609689648949
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.0384040241665188
mediansTb159Di,0
mediansGd160Di,0.0487233505201785
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.0203570470526012
mediansDy164Di,0
mediansHo165Di,0.181231516932618
mediansEr166Di,0.0133006181577759
mediansEr167Di,0
mediansEr168Di,0.0305982598939945
mediansTm169Di,0
mediansEr170Di,0.130470409263268
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.101751717924287
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.848922660278658
mediansIr193Di,0.930654190065071
raw_mediansTime,12.1010847091675
raw_mediansEvent_length,2.44107365608215
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0116505892947316
raw_mediansLa139Di,0.223321594297886
raw_mediansCe140Di,0
raw_mediansPr141Di,1.37336552143097
raw_mediansNd142Di,0.121217310428619
raw_mediansNd143Di,0.343326047062874
raw_mediansNd144Di,0
raw_mediansNd145Di,0.332045540213585
raw_mediansNd146Di,0.0548023283481598
raw_mediansSm147Di,0
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,2.85580945014954
raw_mediansEu153Di,0
raw_mediansSm154Di,3.6100846529007
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.192067325115204
raw_mediansTb159Di,0
raw_mediansGd160Di,0.243715554475784
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.101792313158512
raw_mediansDy164Di,0
raw_mediansHo165Di,0.911127507686615
raw_mediansEr166Di,0.0665050595998764
raw_mediansEr167Di,0
raw_mediansEr168Di,0.153015173971653
raw_mediansTm169Di,0
raw_mediansEr170Di,0.654205143451691
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.509638145565987
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.77312994003296
raw_mediansIr193Di,5.35468173027039
cvsTime,6.49550699180715
cvsEvent_length,10.1261665194725
cvsRh103Di,371.542470686723
cvsIn113Di,398.941257217659
cvsIn115Di,431.691958176796
cvsXe131Di,169.240123050748
cvsCs133Di,526.530229174371
cvsBa138Di,154.12334434563
cvsLa139Di,115.489997400073
cvsCe140Di,285.056664381985
cvsPr141Di,61.7101410889656
cvsNd142Di,132.284057697125
cvsNd143Di,92.9196996375905
cvsNd144Di,200.552441913036
cvsNd145Di,5.44221766787054
cvsNd146Di,151.533351589418
cvsSm147Di,266.309576349449
cvsNd148Di,180.818872478263
cvsSm149Di,201.97659413403
cvsNd150Di,221.170284140741
cvsEu151Di,185.338328102642
cvsSm152Di,3.03896194856432
cvsEu153Di,156.173030236305
cvsSm154Di,21.5318864361645
cvsGd155Di,158.198871389224
cvsGd156Di,197.329551151928
cvsGd158Di,106.606586653024
cvsTb159Di,163.126962610706
cvsGd160Di,104.606212354599
cvsDy161Di,155.787903974732
cvsDy162Di,251.408297850529
cvsDy163Di,116.456664418078
cvsDy164Di,168.042975586569
cvsHo165Di,55.8970471964776
cvsEr166Di,146.729060872336
cvsEr167Di,217.567155109534
cvsEr168Di,119.129325619964
cvsTm169Di,212.87215752982
cvsEr170Di,97.1866864484995
cvsYb171Di,206.065283426427
cvsYb172Di,204.078187804534
cvsYb173Di,155.442792904857
cvsYb174Di,77.5987874340337
cvsLu175Di,262.249797229066
cvsYb176Di,151.054250495223
cvsBCKG190Di,494.363306993704
cvsIr191Di,4.78858567708811
cvsIr193Di,3.94887521306489
percenttotal,0.108521279607436
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,1
raw_foldNd146Di,1
raw_foldSm147Di,NA
raw_foldNd148Di,NA
raw_foldSm149Di,NA
raw_foldNd150Di,NA
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,NA
raw_foldGd156Di,NA
raw_foldGd158Di,1
raw_foldTb159Di,NA
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,1
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,1
raw_foldEr167Di,NA
raw_foldEr168Di,1
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,NA
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
