,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,283
mediansTime,1.64911758657972
mediansEvent_length,0.473749793018526
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00518288229113936
mediansLa139Di,0.0251638289300321
mediansCe140Di,0
mediansPr141Di,0.472102160754437
mediansNd142Di,0.0379600250399493
mediansNd143Di,0.0534216900524886
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0.0387926400571798
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.615057271847456
mediansEu153Di,0
mediansSm154Di,0.598434026214982
mediansGd155Di,0
mediansGd156Di,0.0309620350614756
mediansGd158Di,0.0209598602062512
mediansTb159Di,0
mediansGd160Di,0.0289222268932322
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.00241974505086918
mediansDy164Di,0
mediansHo165Di,0.11685697564764
mediansEr166Di,0.0288597366433405
mediansEr167Di,0
mediansEr168Di,0.0171635396332378
mediansTm169Di,0
mediansEr170Di,0.204356329939249
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.105273157899675
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.847112003660979
mediansIr193Di,0.929356305224627
raw_mediansTime,12.5254192352295
raw_mediansEvent_length,2.45835518836975
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0259145274758339
raw_mediansLa139Di,0.125832423567772
raw_mediansCe140Di,0
raw_mediansPr141Di,2.44917845726013
raw_mediansNd142Di,0.189845710992813
raw_mediansNd143Di,0.267235517501831
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0.194011852145195
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,3.27288150787354
raw_mediansEu153Di,0
raw_mediansSm154Di,3.17398977279663
raw_mediansGd155Di,0
raw_mediansGd156Di,0.154834911227226
raw_mediansGd158Di,0.10480697453022
raw_mediansTb159Di,0
raw_mediansGd160Di,0.144631296396255
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.0120987370610237
raw_mediansDy164Di,0
raw_mediansHo165Di,0.585615575313568
raw_mediansEr166Di,0.144318714737892
raw_mediansEr167Di,0
raw_mediansEr168Di,0.0858219116926193
raw_mediansTm169Di,0
raw_mediansEr170Di,1.02890837192535
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.527338564395905
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.76062154769897
raw_mediansIr193Di,5.34517621994019
cvsTime,6.4721588650466
cvsEvent_length,9.1668933807542
cvsRh103Di,304.523701734873
cvsIn113Di,584.632954351723
cvsIn115Di,560.073026561283
cvsXe131Di,179.935047263873
cvsCs133Di,381.928766500207
cvsBa138Di,164.799005540464
cvsLa139Di,121.514697219108
cvsCe140Di,279.482700923914
cvsPr141Di,43.6494762126508
cvsNd142Di,115.889746359751
cvsNd143Di,92.996918825966
cvsNd144Di,238.93399642347
cvsNd145Di,495.18829926159
cvsNd146Di,233.251356424394
cvsSm147Di,239.947372768874
cvsNd148Di,34.7278261926825
cvsSm149Di,255.679415411073
cvsNd150Di,199.971632299109
cvsEu151Di,156.345513479988
cvsSm152Di,2.18548350623554
cvsEu153Di,187.899853129807
cvsSm154Di,19.8117794705278
cvsGd155Di,179.907889241934
cvsGd156Di,135.304813158681
cvsGd158Di,127.848278762111
cvsTb159Di,178.31093041475
cvsGd160Di,118.961701985093
cvsDy161Di,210.65993836351
cvsDy162Di,225.314153420652
cvsDy163Di,145.951832736514
cvsDy164Di,225.808592424728
cvsHo165Di,71.076656262002
cvsEr166Di,120.455483034954
cvsEr167Di,257.720941344456
cvsEr168Di,141.050481394735
cvsTm169Di,246.806803032727
cvsEr170Di,81.8334686343161
cvsYb171Di,259.607218501015
cvsYb172Di,207.307189852154
cvsYb173Di,196.600434898011
cvsYb174Di,83.9698112195966
cvsLu175Di,367.795787736743
cvsYb176Di,173.546789475573
cvsBCKG190Di,395.330701559814
cvsIr191Di,4.55688852024484
cvsIr193Di,3.66768476532447
percenttotal,0.333820892705483
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,NA
raw_foldNd146Di,NA
raw_foldSm147Di,NA
raw_foldNd148Di,1
raw_foldSm149Di,NA
raw_foldNd150Di,NA
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,NA
raw_foldGd156Di,1
raw_foldGd158Di,1
raw_foldTb159Di,NA
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,1
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,1
raw_foldEr167Di,NA
raw_foldEr168Di,1
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,NA
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
