,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,19
mediansTime,1.65421494947103
mediansEvent_length,0.485525497569824
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0.00143742865742626
mediansCs133Di,0
mediansBa138Di,0.0308191146937168
mediansLa139Di,0.173725439245868
mediansCe140Di,0
mediansPr141Di,0.147525632445161
mediansNd142Di,0.0893021597862731
mediansNd143Di,0.0502299657471634
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.158694796774391
mediansNd148Di,0.150655784728604
mediansSm149Di,0
mediansNd150Di,0.0917902516010495
mediansEu151Di,0
mediansSm152Di,0.214137295171524
mediansEu153Di,0
mediansSm154Di,0.773156753975146
mediansGd155Di,0.0311571848778042
mediansGd156Di,0
mediansGd158Di,0.0131203210072934
mediansTb159Di,0.217081047619177
mediansGd160Di,0.0287377348079654
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.0134272057367822
mediansDy164Di,0
mediansHo165Di,0.276639835714275
mediansEr166Di,0.00594786772884179
mediansEr167Di,0
mediansEr168Di,0
mediansTm169Di,0
mediansEr170Di,0.28644672880555
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0.00702810015102166
mediansYb174Di,0.273472359029224
mediansLu175Di,0
mediansYb176Di,0.0419480076540648
mediansBCKG190Di,0
mediansIr191Di,0.840647307488379
mediansIr193Di,0.928374162635928
raw_mediansTime,12.5943279266357
raw_mediansEvent_length,2.52413749694824
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0.00718714576214552
raw_mediansCs133Di,0
raw_mediansBa138Di,0.154119968414307
raw_mediansLa139Di,0.87300306558609
raw_mediansCe140Di,0
raw_mediansPr141Di,0.740306675434113
raw_mediansNd142Di,0.447104513645172
raw_mediansNd143Di,0.251255452632904
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0.796808660030365
raw_mediansNd148Di,0.756131708621979
raw_mediansSm149Di,0
raw_mediansNd150Di,0.459596008062363
raw_mediansEu151Di,0
raw_mediansSm152Di,1.07888793945312
raw_mediansEu153Di,0
raw_mediansSm154Di,4.26260280609131
raw_mediansGd155Di,0.155811131000519
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0656034871935844
raw_mediansTb159Di,1.09395015239716
raw_mediansGd160Di,0.143708452582359
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.0671380460262299
raw_mediansDy164Di,0
raw_mediansHo165Di,1.40090942382812
raw_mediansEr166Di,0.0297395139932632
raw_mediansEr167Di,0
raw_mediansEr168Di,0
raw_mediansTm169Di,0
raw_mediansEr170Di,1.45190036296844
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0.0351407900452614
raw_mediansYb174Di,1.38446915149689
raw_mediansLu175Di,0
raw_mediansYb176Di,0.209801554679871
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.71608924865723
raw_mediansIr193Di,5.33799028396606
cvsTime,5.76187202135642
cvsEvent_length,10.3839067267682
cvsRh103Di,316.067225869164
cvsIn113Di,NA
cvsIn115Di,435.889894354067
cvsXe131Di,146.434418516575
cvsCs133Di,321.664977433138
cvsBa138Di,144.232709018636
cvsLa139Di,35.799246136428
cvsCe140Di,435.889894354067
cvsPr141Di,61.5089970390555
cvsNd142Di,97.0627708320352
cvsNd143Di,97.0989973818898
cvsNd144Di,401.837314171646
cvsNd145Di,405.886494962079
cvsNd146Di,212.973426213434
cvsSm147Di,12.6076749860585
cvsNd148Di,24.8301467897656
cvsSm149Di,128.737989624428
cvsNd150Di,88.5184199170784
cvsEu151Di,176.464617839453
cvsSm152Di,27.4411186213974
cvsEu153Di,231.919349643743
cvsSm154Di,11.7397540895134
cvsGd155Di,90.730140701908
cvsGd156Di,202.660524256091
cvsGd158Di,127.47015582168
cvsTb159Di,54.4552304249904
cvsGd160Di,111.773925908533
cvsDy161Di,190.104839329416
cvsDy162Di,NA
cvsDy163Di,120.5438803301
cvsDy164Di,154.447827832486
cvsHo165Di,51.0183616647422
cvsEr166Di,207.418748610351
cvsEr167Di,299.565517751815
cvsEr168Di,249.981406089238
cvsTm169Di,309.14455075063
cvsEr170Di,54.7987208121862
cvsYb171Di,239.768143599726
cvsYb172Di,204.60175225685
cvsYb173Di,142.949567236107
cvsYb174Di,78.889655277719
cvsLu175Di,195.474274057435
cvsYb176Di,72.8905118735892
cvsBCKG190Di,435.889894354067
cvsIr191Di,5.89804334082222
cvsIr193Di,5.38254671220063
percenttotal,0.0224120033971879
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,1
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,NA
raw_foldNd146Di,NA
raw_foldSm147Di,1
raw_foldNd148Di,1
raw_foldSm149Di,NA
raw_foldNd150Di,1
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,1
raw_foldGd156Di,NA
raw_foldGd158Di,1
raw_foldTb159Di,1
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,1
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,1
raw_foldEr167Di,NA
raw_foldEr168Di,NA
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,1
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,1
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
