,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,36
mediansTime,1.62481891514462
mediansEvent_length,0.473749793018526
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00892498042592958
mediansLa139Di,0.00169869129662537
mediansCe140Di,0
mediansPr141Di,0.00947934944096439
mediansNd142Di,0.000662119120558388
mediansNd143Di,0.0169007939387137
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.106202308861537
mediansNd148Di,0.0422447452669999
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.0136285957433581
mediansEu153Di,0
mediansSm154Di,0.398535178686626
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.00455220338000297
mediansTb159Di,0.0233013547797996
mediansGd160Di,0.0180463827212425
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.0985441196725158
mediansEr166Di,0
mediansEr167Di,0
mediansEr168Di,0.0218584670775017
mediansTm169Di,0
mediansEr170Di,0.0729349532467544
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.032384871043895
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.819640741872983
mediansIr193Di,0.908039526630452
raw_mediansTime,12.2013883590698
raw_mediansEvent_length,2.45835518836975
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0446261707693338
raw_mediansLa139Di,0.00849347282201052
raw_mediansCe140Di,0
raw_mediansPr141Di,0.0473980344831944
raw_mediansNd142Di,0.00331059657037258
raw_mediansNd143Di,0.0845090057700872
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0.532011330127716
raw_mediansNd148Di,0.211286559700966
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,0.0681451112031937
raw_mediansEu153Di,0
raw_mediansSm154Di,2.05133438110352
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.022761250147596
raw_mediansTb159Di,0.11652048304677
raw_mediansGd160Di,0.0902368202805519
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.493521124124527
raw_mediansEr166Di,0
raw_mediansEr167Di,0
raw_mediansEr168Di,0.109301198273897
raw_mediansTm169Di,0
raw_mediansEr170Di,0.364998340606689
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.161953888833523
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.57278037071228
raw_mediansIr193Di,5.19039726257324
cvsTime,4.65444754601364
cvsEvent_length,7.35534014045263
cvsRh103Di,NA
cvsIn113Di,437.788302472314
cvsIn115Di,NA
cvsXe131Di,201.561307240452
cvsCs133Di,364.21085566614
cvsBa138Di,130.654019577507
cvsLa139Di,149.175304792094
cvsCe140Di,320.928657852868
cvsPr141Di,192.08253574466
cvsNd142Di,137.020558602387
cvsNd143Di,136.729439155629
cvsNd144Di,313.175268754062
cvsNd145Di,600
cvsNd146Di,375.068705128307
cvsSm147Di,14.0107641940251
cvsNd148Di,40.5506182115605
cvsSm149Di,397.792833722151
cvsNd150Di,203.464922659567
cvsEu151Di,144.391742341697
cvsSm152Di,112.207074986386
cvsEu153Di,243.935596207232
cvsSm154Di,64.8978692822645
cvsGd155Di,169.821426692704
cvsGd156Di,NA
cvsGd158Di,143.630679460952
cvsTb159Di,141.817550693737
cvsGd160Di,123.773810235898
cvsDy161Di,311.093363789481
cvsDy162Di,409.606088582657
cvsDy163Di,182.324394658513
cvsDy164Di,325.269367613323
cvsHo165Di,87.5901845694233
cvsEr166Di,168.029427963692
cvsEr167Di,192.910413015908
cvsEr168Di,119.433472124777
cvsTm169Di,239.382173633258
cvsEr170Di,101.93653662938
cvsYb171Di,338.055584965985
cvsYb172Di,320.516607166072
cvsYb173Di,286.276049939261
cvsYb174Di,127.713011047373
cvsLu175Di,304.608005521463
cvsYb176Di,197.576953623203
cvsBCKG190Di,421.930979494778
cvsIr191Di,6.11399330772296
cvsIr193Di,5.23272500882883
percenttotal,0.0424648485420402
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,NA
raw_foldNd146Di,NA
raw_foldSm147Di,1
raw_foldNd148Di,1
raw_foldSm149Di,NA
raw_foldNd150Di,NA
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,NA
raw_foldGd156Di,NA
raw_foldGd158Di,1
raw_foldTb159Di,1
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,NA
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,NA
raw_foldEr167Di,NA
raw_foldEr168Di,1
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,NA
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
