,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,49
mediansTime,1.64833245494909
mediansEvent_length,0.491116721277431
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00972310109093138
mediansLa139Di,0.0287781926111285
mediansCe140Di,0
mediansPr141Di,0.125358699932539
mediansNd142Di,0
mediansNd143Di,0.0846078059814308
mediansNd144Di,0
mediansNd145Di,0.0281799896905634
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0.0837048419708306
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0.00165019351599731
mediansSm152Di,0.341617768172442
mediansEu153Di,0
mediansSm154Di,0.64442879515713
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.046946906489115
mediansTb159Di,0
mediansGd160Di,0.0517190943457771
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.00738197640583982
mediansDy164Di,0
mediansHo165Di,0.183510598374733
mediansEr166Di,0.0118390491578185
mediansEr167Di,0
mediansEr168Di,0.0629829434792041
mediansTm169Di,0
mediansEr170Di,0.109267398266547
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.091648304571306
mediansLu175Di,0
mediansYb176Di,0.0100568260754576
mediansBCKG190Di,0
mediansIr191Di,0.832117875332907
mediansIr193Di,0.913690939162068
raw_mediansTime,12.5148344039917
raw_mediansEvent_length,2.55549359321594
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0486162714660168
raw_mediansLa139Di,0.143910825252533
raw_mediansCe140Di,0
raw_mediansPr141Di,0.62843644618988
raw_mediansNd142Di,0
raw_mediansNd143Di,0.423543930053711
raw_mediansNd144Di,0
raw_mediansNd145Di,0.140918597579002
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0.419013112783432
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0.00825097132474184
raw_mediansSm152Di,1.74150633811951
raw_mediansEu153Di,0
raw_mediansSm154Di,3.44984078407288
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.234820768237114
raw_mediansTb159Di,0
raw_mediansGd160Di,0.258710771799088
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.0369102172553539
raw_mediansDy164Di,0
raw_mediansHo165Di,0.922711610794067
raw_mediansEr166Di,0.0591966286301613
raw_mediansEr167Di,0
raw_mediansEr168Di,0.315122961997986
raw_mediansTm169Di,0
raw_mediansEr170Di,0.547424793243408
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.458883285522461
raw_mediansLu175Di,0
raw_mediansYb176Di,0.0502849780023098
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.65763521194458
raw_mediansIr193Di,5.2311692237854
cvsTime,6.70545578580102
cvsEvent_length,9.40518705606377
cvsRh103Di,322.814169692061
cvsIn113Di,496.458463444353
cvsIn115Di,700
cvsXe131Di,146.269036456554
cvsCs133Di,364.341848197835
cvsBa138Di,143.074723694327
cvsLa139Di,133.589139376121
cvsCe140Di,238.428350498895
cvsPr141Di,74.9274064929114
cvsNd142Di,188.059804814302
cvsNd143Di,82.7837579627437
cvsNd144Di,176.926198542429
cvsNd145Di,27.0042962880083
cvsNd146Di,172.031392959666
cvsSm147Di,246.494556273965
cvsNd148Di,29.8379588734137
cvsSm149Di,264.848132511502
cvsNd150Di,242.203324106653
cvsEu151Di,143.558453193746
cvsSm152Di,5.92950764473941
cvsEu153Di,192.363361219847
cvsSm154Di,25.1417471093684
cvsGd155Di,159.855762766887
cvsGd156Di,263.712508468729
cvsGd158Di,114.446898309843
cvsTb159Di,220.554546767745
cvsGd160Di,92.9865636111795
cvsDy161Di,167.592951261302
