,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,871
mediansTime,1.6484676778905
mediansEvent_length,0.467537962419937
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00143579511931608
mediansLa139Di,0.024989543126347
mediansCe140Di,0
mediansPr141Di,0.515589101143818
mediansNd142Di,0.102884054700893
mediansNd143Di,0.0473475199432628
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.639783598268133
mediansEu153Di,0
mediansSm154Di,0.596065508545951
mediansGd155Di,0
mediansGd156Di,0.0420958307481254
mediansGd158Di,0.0210064980238165
mediansTb159Di,0
mediansGd160Di,0.0224031185135698
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.113805627044964
mediansEr166Di,0.040989131924616
mediansEr167Di,0
mediansEr168Di,0.032830825154053
mediansTm169Di,0
mediansEr170Di,0.383263923636611
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0876179727040959
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.837114160639101
mediansIr193Di,0.923303617703944
raw_mediansTime,12.5166568756104
raw_mediansEvent_length,2.42379212379456
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.00717897806316614
raw_mediansLa139Di,0.124960720539093
raw_mediansCe140Di,0
raw_mediansPr141Di,2.69369006156921
raw_mediansNd142Di,0.515328288078308
raw_mediansNd143Di,0.236826062202454
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,3.42165994644165
raw_mediansEu153Di,0
raw_mediansSm154Di,3.1599714756012
raw_mediansGd155Di,0
raw_mediansGd156Di,0.210541322827339
raw_mediansGd158Di,0.105040214955807
raw_mediansTb159Di,0
raw_mediansGd160Di,0.112024962902069
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.570257246494293
raw_mediansEr166Di,0.205003052949905
raw_mediansEr167Di,0
raw_mediansEr168Di,0.164183616638184
raw_mediansTm169Di,0
raw_mediansEr170Di,1.96358048915863
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.438650608062744
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.69183444976807
raw_mediansIr193Di,5.3009729385376
cvsTime,5.50316980977319
cvsEvent_length,9.23213900229236
cvsRh103Di,350.353395252252
cvsIn113Di,790.602857075518
cvsIn115Di,548.888534491755
cvsXe131Di,153.641877556553
cvsCs133Di,395.798170616883
cvsBa138Di,189.278436698705
cvsLa139Di,122.440780007858
cvsCe140Di,294.029075446972
cvsPr141Di,35.674062833977
cvsNd142Di,87.4844763976901
cvsNd143Di,103.018389114636
cvsNd144Di,229.613810083374
cvsNd145Di,614.270413035418
cvsNd146Di,214.321107968079
cvsSm147Di,339.980368713658
cvsNd148Di,285.570507514625
cvsSm149Di,283.915112102734
cvsNd150Di,208.989390835417
cvsEu151Di,192.248103359239
cvsSm152Di,2.50107569385731
cvsEu153Di,205.113320697335
cvsSm154Di,17.6992255998969
cvsGd155Di,203.498315310818
cvsGd156Di,115.575981312206
cvsGd158Di,130.765387915588
cvsTb159Di,173.869604999637
cvsGd160Di,121.664624803196
cvsDy161Di,215.973280220282
cvsDy162Di,267.401055748432
cvsDy163Di,163.185937927029
cvsDy164Di,178.375162077361
cvsHo165Di,70.7393620812977
cvsEr166Di,106.331492048784
cvsEr167Di,407.336906196702
cvsEr168Di,125.558238984139
cvsTm169Di,264.045512941546
cvsEr170Di,61.0125214871965
cvsYb171Di,237.244460039358
cvsYb172Di,245.4031264315
cvsYb173Di,236.101628467603
cvsYb174Di,88.1871769691524
cvsLu175Di,271.441261258779
cvsYb176Di,180.199357096119
cvsBCKG190Di,490.879749795251
cvsIr191Di,4.82726228642862
cvsIr193Di,4.07735083873351
percenttotal,1.02741341889214
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,NA
raw_foldNd146Di,NA
raw_foldSm147Di,NA
raw_foldNd148Di,NA
raw_foldSm149Di,NA
raw_foldNd150Di,NA
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,NA
raw_foldGd156Di,1
raw_foldGd158Di,1
raw_foldTb159Di,NA
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,NA
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,1
raw_foldEr167Di,NA
raw_foldEr168Di,1
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,NA
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
