,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,29
mediansTime,1.67269272999069
mediansEvent_length,0.485525497569824
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0.014592537944359
mediansCs133Di,0
mediansBa138Di,0.0328608705479548
mediansLa139Di,0.0229342129120763
mediansCe140Di,0
mediansPr141Di,0.0770506465943537
mediansNd142Di,0.0307336850754637
mediansNd143Di,0.0547379274170431
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.0743566412912266
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0
mediansSm152Di,0.218182158951972
mediansEu153Di,0
mediansSm154Di,0.511755477042758
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0.0259809440534236
mediansTb159Di,0
mediansGd160Di,0.0656856277417229
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.0146610655243844
mediansDy164Di,0
mediansHo165Di,0.172080679287928
mediansEr166Di,0.0167518410054592
mediansEr167Di,0.0832107365490529
mediansEr168Di,0
mediansTm169Di,0
mediansEr170Di,0.14188635529576
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.078090371656008
mediansLu175Di,0
mediansYb176Di,0.0160532672305739
mediansBCKG190Di,0
mediansIr191Di,0.838944593645932
mediansIr193Di,0.918494261691938
raw_mediansTime,12.8468761444092
raw_mediansEvent_length,2.52413749694824
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0.0729652792215347
raw_mediansCs133Di,0
raw_mediansBa138Di,0.164333924651146
raw_mediansLa139Di,0.114681117236614
raw_mediansCe140Di,0
raw_mediansPr141Di,0.385634541511536
raw_mediansNd142Di,0.153692618012428
raw_mediansNd143Di,0.273826330900192
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0.372125893831253
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0
raw_mediansSm152Di,1.0995866060257
raw_mediansEu153Di,0
raw_mediansSm154Di,2.67193698883057
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0.129919335246086
raw_mediansTb159Di,0
raw_mediansGd160Di,0.328664362430573
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.073307953774929
raw_mediansDy164Di,0
raw_mediansHo165Di,0.864656031131744
raw_mediansEr166Di,0.0837631225585938
raw_mediansEr167Di,0.416533976793289
raw_mediansEr168Di,0
raw_mediansTm169Di,0
raw_mediansEr170Di,0.711814522743225
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.390848815441132
raw_mediansLu175Di,0
raw_mediansYb176Di,0.0802697837352753
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.70439291000366
raw_mediansIr193Di,5.26598834991455
cvsTime,6.34392974664406
cvsEvent_length,8.07048426260271
cvsRh103Di,270.125220194224
cvsIn113Di,NA
cvsIn115Di,340.601635314885
cvsXe131Di,125.439664335526
cvsCs133Di,538.516480713451
cvsBa138Di,102.860316452509
cvsLa139Di,138.781707958607
cvsCe140Di,221.943841897205
cvsPr141Di,95.7593716239036
cvsNd142Di,132.363203757169
