,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,79
mediansTime,1.63650826915148
mediansEvent_length,0.473749793018526
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.016397246548664
mediansLa139Di,0.0327572648974125
mediansCe140Di,0
mediansPr141Di,0.454432819214218
mediansNd142Di,0.0716596477993604
mediansNd143Di,0.0508314132500121
mediansNd144Di,0
mediansNd145Di,0.0644406373626011
mediansNd146Di,0
mediansSm147Di,0
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0
mediansEu151Di,0.00901460582730122
mediansSm152Di,0.614881160321538
mediansEu153Di,0
mediansSm154Di,0.62951043049656
mediansGd155Di,0
mediansGd156Di,0.0314121054126374
mediansGd158Di,0.026905509006503
mediansTb159Di,0
mediansGd160Di,0.0348453514452082
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0.00500171073468561
mediansDy164Di,0
mediansHo165Di,0.167532806239325
mediansEr166Di,0.0319026144387105
mediansEr167Di,0
mediansEr168Di,0.0399316367401491
mediansTm169Di,0
mediansEr170Di,0.257415274979139
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.118117451764918
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.852236959136711
mediansIr193Di,0.936918332371079
raw_mediansTime,12.3563547134399
raw_mediansEvent_length,2.45835518836975
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0819899067282677
raw_mediansLa139Di,0.16381561756134
raw_mediansCe140Di,0
raw_mediansPr141Di,2.35117936134338
raw_mediansNd142Di,0.358604967594147
raw_mediansNd143Di,0.254266530275345
raw_mediansNd144Di,0
raw_mediansNd145Di,0.322426229715347
raw_mediansNd146Di,0
raw_mediansSm147Di,0
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0
raw_mediansEu151Di,0.045073639601469
raw_mediansSm152Di,3.27182912826538
raw_mediansEu153Di,0
raw_mediansSm154Di,3.3595974445343
raw_mediansGd155Di,0
raw_mediansGd156Di,0.157086357474327
raw_mediansGd158Di,0.134543776512146
raw_mediansTb159Di,0
raw_mediansGd160Di,0.174262017011642
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0.0250086579471827
raw_mediansDy164Di,0
raw_mediansHo165Di,0.841588020324707
raw_mediansEr166Di,0.159540131688118
raw_mediansEr167Di,0
raw_mediansEr168Di,0.199711248278618
raw_mediansTm169Di,0
raw_mediansEr170Di,1.30133771896362
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.59196150302887
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.79606628417969
raw_mediansIr193Di,5.40067768096924
cvsTime,6.38751295465558
cvsEvent_length,10.3590259152798
cvsRh103Di,278.394415718516
cvsIn113Di,701.702552242973
cvsIn115Di,387.994449874327
cvsXe131Di,165.478734116733
cvsCs133Di,477.676164622265
cvsBa138Di,139.861652592076
cvsLa139Di,117.301769795347
cvsCe140Di,226.803612601992
cvsPr141Di,43.0087593223261
cvsNd142Di,104.521483388798
cvsNd143Di,97.6985712352374
cvsNd144Di,234.346495336998
cvsNd145Di,5.6120802455391
cvsNd146Di,192.723930410249
cvsSm147Di,265.224431436862
cvsNd148Di,189.799849586989
cvsSm149Di,208.699737011021
cvsNd150Di,205.320614063666
cvsEu151Di,138.680436277519
cvsSm152Di,2.99112166811538
cvsEu153Di,209.738413785743
cvsSm154Di,14.7467904137397
cvsGd155Di,154.310310728114
cvsGd156Di,127.715498707103
cvsGd158Di,128.193523679445
cvsTb159Di,218.723502953957
cvsGd160Di,114.997245081888
cvsDy161Di,191.009768927822
cvsDy162Di,252.506109854358
cvsDy163Di,150.394994270893
cvsDy164Di,174.662352496017
cvsHo165Di,63.5725708325064
cvsEr166Di,121.370801357783
cvsEr167Di,290.743011561102
cvsEr168Di,111.367974591553
cvsTm169Di,234.104675457112
cvsEr170Di,69.8225729025864
cvsYb171Di,216.722256308889
cvsYb172Di,241.297187910938
cvsYb173Di,185.950235725566
cvsYb174Di,77.7036046996677
cvsLu175Di,235.578894143789
cvsYb176Di,152.07465383426
cvsBCKG190Di,449.186331242316
cvsIr191Di,4.12632140021943
cvsIr193Di,3.68209820984537
percenttotal,0.0931867509672549
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
