,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,62
mediansTime,1.65416434040006
mediansEvent_length,0.454386906129368
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0
mediansLa139Di,0.135251465196661
mediansCe140Di,0
mediansPr141Di,0.101612762796443
mediansNd142Di,0.138661711669861
mediansNd143Di,0.0222004329348279
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.312891822361345
mediansNd148Di,0.0740464764631207
mediansSm149Di,0
mediansNd150Di,0.0930578570121896
mediansEu151Di,0
mediansSm152Di,0.0699460790955665
mediansEu153Di,0
mediansSm154Di,0.775287350157689
mediansGd155Di,0.0209598066495351
mediansGd156Di,0
mediansGd158Di,0.0114627035760742
mediansTb159Di,0.230308923427379
mediansGd160Di,0.0225174322344145
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.181383445351762
mediansEr166Di,0
mediansEr167Di,0
mediansEr168Di,0.0226983834250713
mediansTm169Di,0
mediansEr170Di,0.229637419002613
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0962355830401405
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.822633857661372
mediansIr193Di,0.90383739979109
raw_mediansTime,12.593695640564
raw_mediansEvent_length,2.35092568397522
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0
raw_mediansLa139Di,0.678321003913879
raw_mediansCe140Di,0
raw_mediansPr141Di,0.508939355611801
raw_mediansNd142Di,0.695532441139221
raw_mediansNd143Di,0.111011564731598
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,1.5901118516922
raw_mediansNd148Di,0.37057089805603
raw_mediansSm149Di,0
raw_mediansNd150Di,0.465961143374443
raw_mediansEu151Di,0
raw_mediansSm152Di,0.350016042590141
raw_mediansEu153Di,0
raw_mediansSm154Di,4.27661681175232
raw_mediansGd155Di,0.104806900024414
raw_mediansGd156Di,0
raw_mediansGd158Di,0.0573147740215063
raw_mediansTb159Di,1.16175419092178
raw_mediansGd160Di,0.112596675753593
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.911899715662003
raw_mediansEr166Di,0
raw_mediansEr167Di,0
raw_mediansEr168Di,0.113501787185669
raw_mediansTm169Di,0
raw_mediansEr170Di,1.15837603807449
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.481923803687096
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.59304118156433
raw_mediansIr193Di,5.16011834144592
cvsTime,4.7026070437116
cvsEvent_length,10.0171116904702
cvsRh103Di,427.034877242451
cvsIn113Di,787.400787401181
cvsIn115Di,571.069072874767
cvsXe131Di,185.873658953137
cvsCs133Di,402.120395542609
cvsBa138Di,149.375326169799
cvsLa139Di,57.2728484122258
cvsCe140Di,553.372517484678
cvsPr141Di,75.4784591389584
cvsNd142Di,66.4064088474491
cvsNd143Di,114.509426489302
cvsNd144Di,383.217601252539
cvsNd145Di,386.493215849337
cvsNd146Di,156.356079770852
cvsSm147Di,5.32763997715581
cvsNd148Di,24.9475729302564
cvsSm149Di,158.54179982937
cvsNd150Di,84.763746435311
cvsEu151Di,189.995089846172
cvsSm152Di,47.1533767750173
cvsEu153Di,195.014722346333
cvsSm154Di,6.44771859675071
cvsGd155Di,121.486668521838
cvsGd156Di,251.109527617718
cvsGd158Di,138.978353058609
cvsTb159Di,51.8272040420353
cvsGd160Di,116.546201376689
cvsDy161Di,206.702439962078
cvsDy162Di,384.430841521933
cvsDy163Di,202.5358756703
cvsDy164Di,190.978301612444
cvsHo165Di,59.0657580495526
cvsEr166Di,157.922019151287
cvsEr167Di,282.722982801652
cvsEr168Di,118.045222105724
cvsTm169Di,357.619086373371
cvsEr170Di,49.9523284856851
cvsYb171Di,213.539126932284
cvsYb172Di,300.085207723359
cvsYb173Di,211.203139463539
cvsYb174Di,101.681157221905
cvsLu175Di,218.831630306787
cvsYb176Di,204.577496115981
cvsBCKG190Di,445.716844029431
cvsIr191Di,5.06659007740003
cvsIr193Di,4.66480141061792
percenttotal,0.0731339058224026
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
