"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,0.0322639842496754
2,0.0308388637793728
3,0.0283506351821979
4,0.0231731007650216
5,0.0347637650099715
6,0.0249249588353498
7,0.0204194938063906
8,0.0210971008483595
9,0.0349546592739578
10,0.0355741961827241
11,0.0297940936011542
12,0.00184860925140313
13,0.0316436221596848
14,0.048589741338537
15,0.0181121623698032
16,0.0204935152955349
17,0.0426917242575852
18,0.034187368047027
19,0.00694693253432172
20,0.0314386938357445
21,0.0403045654071457
22,0.0179435086454739
23,0.0436231627215611
24,0.0326196078804085
25,0.048999471557805
26,0.0433238304961445
27,0.0415015462877691
28,0.0522020861874543
29,0.0176989866390769
30,0.0324823218960175
31,0.0291101922847131
32,0.0185771647896718
33,0.0166937785517178
34,0.0409168728813989
35,0.0253469172942079
36,0.030651475577243
37,0.0261100881089176
38,0.0126531812141349
39,0.0394230977515405
40,0.0233361272084656
41,0.0165260973119994
42,0.0240505253772714
43,0.0141031656424587
44,0.0187129841225195
45,0.0328980771752338
46,0.0299601882292708
47,0.0165546410519719
48,0.0275697738965821
49,0.0361159186059375
50,0.0265199806743844
51,0.027867468172792
52,0.0323334360539635
53,0.0232769628610796
54,0.0383836127098166
55,0.05308546624476
56,0.0399423202692577
57,0.0314813585869943
58,0.0418051622416128
59,0.0316143093507333
60,0.0206105759368722
61,0.0615705434295466
62,0.0327209463914437
63,0.0379433013346176
64,0.0317887138523427
65,0.012027053445503
66,0.0668528740993319
67,0.0382765058280469
68,0.0289911665230636
69,0.0303404062795907
70,0.0262135284585637
71,0.0386964984097633
72,0.0255660723849543
73,0.0433325626094433
74,0.0298633422993606
75,0.0309604562951512
76,0.0372439210069991
77,0.0326995352856503
78,0.0254357357791257
79,0.0315833098260985
80,0.012935991405809
81,0.0238103485166023
82,0.0373953619417652
83,0.0421914988907399
84,0.0224353251650603
85,0.027081382937672
86,0.0302854015643942
87,0.049439857832743
88,0.0095767328822965
89,0.0389823016617935
90,0.0279374287111354
91,0.0362225679744126
92,0.0209260509258106
93,0.036085248162175
94,0.0148500587927852
95,0.0237808655747652
96,0.0278743263223481
97,0.0352747476853027
98,0.0303433133472129
99,0.0215148097042439
100,0.0241194092816932
101,0.0322317072374047
102,0.0438762837104548
103,0.0329110424472275
104,0.0363302593243773
105,0.0470607834919906
106,0.0154804520534654
107,0.0496490116649305
108,0.0257075352391635
109,0.0460040109637691
110,0.018328913932673
111,0
112,0.00155063963752348
113,0.0225174322344145
114,0.005141693304385
115,0.0251902075453638
116,0.0159242515868121
117,0.0175375382439024
118,0.032682135923955
119,0.0410491092972733
120,0.0171142314781346
121,0.0163952439582431
122,0.0235110927594509
123,0.0334165208493891
124,0.0334949146321222
125,0.0330251319887813
126,0.0276526761917015
127,0.0170668461996333
128,0.0189461180278352
129,0.00383949640288909
130,0.0207756708785159
131,0.0304057844969076
132,0.0211347579884874
133,0.0209123359178556
134,0.0153030815133542
135,0.012328313921844
136,0.0235135814547141
137,0.041184190931073
138,0.0239775525061789
139,0.0237301220679458
140,0.000545388771104256
141,0.0196933703639184
142,0.00649163292049106
143,0
144,0.0449889366715761
145,0
146,0
147,0.0160669447326133
148,0.0353677056239767
149,0.040607962571545
150,0.0656856277417229
151,0.0691257524829426
152,0
153,0.00457842727667642
154,0.0562126486449032
155,0.00771062415062926
156,0.0106457427953391
157,0.0214167056903648
158,0.0161824757469744
159,0.0761290083142398
160,0.0185368871916088
161,0.0237206610509666
162,0.019617458740968
163,0.0345232152328641
