"ID","count","mediansTime","mediansEvent_length","mediansRh103Di","mediansIn113Di","mediansIn115Di","mediansXe131Di","mediansCs133Di","mediansBa138Di","mediansLa139Di","mediansCe140Di","mediansPr141Di","mediansNd142Di","mediansNd143Di","mediansNd144Di","mediansNd145Di","mediansNd146Di","mediansSm147Di","mediansNd148Di","mediansSm149Di","mediansNd150Di","mediansEu151Di","mediansSm152Di","mediansEu153Di","mediansSm154Di","mediansGd155Di","mediansGd156Di","mediansGd158Di","mediansTb159Di","mediansGd160Di","mediansDy161Di","mediansDy162Di","mediansDy163Di","mediansDy164Di","mediansHo165Di","mediansEr166Di","mediansEr167Di","mediansEr168Di","mediansTm169Di","mediansEr170Di","mediansYb171Di","mediansYb172Di","mediansYb173Di","mediansYb174Di","mediansLu175Di","mediansYb176Di","mediansBCKG190Di","mediansIr191Di","mediansIr193Di","raw_mediansTime","raw_mediansEvent_length","raw_mediansRh103Di","raw_mediansIn113Di","raw_mediansIn115Di","raw_mediansXe131Di","raw_mediansCs133Di","raw_mediansBa138Di","raw_mediansLa139Di","raw_mediansCe140Di","raw_mediansPr141Di","raw_mediansNd142Di","raw_mediansNd143Di","raw_mediansNd144Di","raw_mediansNd145Di","raw_mediansNd146Di","raw_mediansSm147Di","raw_mediansNd148Di","raw_mediansSm149Di","raw_mediansNd150Di","raw_mediansEu151Di","raw_mediansSm152Di","raw_mediansEu153Di","raw_mediansSm154Di","raw_mediansGd155Di","raw_mediansGd156Di","raw_mediansGd158Di","raw_mediansTb159Di","raw_mediansGd160Di","raw_mediansDy161Di","raw_mediansDy162Di","raw_mediansDy163Di","raw_mediansDy164Di","raw_mediansHo165Di","raw_mediansEr166Di","raw_mediansEr167Di","raw_mediansEr168Di","raw_mediansTm169Di","raw_mediansEr170Di","raw_mediansYb171Di","raw_mediansYb172Di","raw_mediansYb173Di","raw_mediansYb174Di","raw_mediansLu175Di","raw_mediansYb176Di","raw_mediansBCKG190Di","raw_mediansIr191Di","raw_mediansIr193Di","cvsTime","cvsEvent_length","cvsRh103Di","cvsIn113Di","cvsIn115Di","cvsXe131Di","cvsCs133Di","cvsBa138Di","cvsLa139Di","cvsCe140Di","cvsPr141Di","cvsNd142Di","cvsNd143Di","cvsNd144Di","cvsNd145Di","cvsNd146Di","cvsSm147Di","cvsNd148Di","cvsSm149Di","cvsNd150Di","cvsEu151Di","cvsSm152Di","cvsEu153Di","cvsSm154Di","cvsGd155Di","cvsGd156Di","cvsGd158Di","cvsTb159Di","cvsGd160Di","cvsDy161Di","cvsDy162Di","cvsDy163Di","cvsDy164Di","cvsHo165Di","cvsEr166Di","cvsEr167Di","cvsEr168Di","cvsTm169Di","cvsEr170Di","cvsYb171Di","cvsYb172Di","cvsYb173Di","cvsYb174Di","cvsLu175Di","cvsYb176Di","cvsBCKG190Di","cvsIr191Di","cvsIr193Di","percenttotal","percenttotalratiolog","foldTime","foldEvent_length","foldRh103Di","foldIn113Di","foldIn115Di","foldXe131Di","foldCs133Di","foldBa138Di","foldLa139Di","foldCe140Di","foldPr141Di","foldNd142Di","foldNd143Di","foldNd144Di","foldNd145Di","foldNd146Di","foldSm147Di","foldNd148Di","foldSm149Di","foldNd150Di","foldEu151Di","foldSm152Di","foldEu153Di","foldSm154Di","foldGd155Di","foldGd156Di","foldGd158Di","foldTb159Di","foldGd160Di","foldDy161Di","foldDy162Di","foldDy163Di","foldDy164Di","foldHo165Di","foldEr166Di","foldEr167Di","foldEr168Di","foldTm169Di","foldEr170Di","foldYb171Di","foldYb172Di","foldYb173Di","foldYb174Di","foldLu175Di","foldYb176Di","foldBCKG190Di","foldIr191Di","foldIr193Di","raw_foldTime","raw_foldEvent_length","raw_foldRh103Di","raw_foldIn113Di","raw_foldIn115Di","raw_foldXe131Di","raw_foldCs133Di","raw_foldBa138Di","raw_foldLa139Di","raw_foldCe140Di","raw_foldPr141Di","raw_foldNd142Di","raw_foldNd143Di","raw_foldNd144Di","raw_foldNd145Di","raw_foldNd146Di","raw_foldSm147Di","raw_foldNd148Di","raw_foldSm149Di","raw_foldNd150Di","raw_foldEu151Di","raw_foldSm152Di","raw_foldEu153Di","raw_foldSm154Di","raw_foldGd155Di","raw_foldGd156Di","raw_foldGd158Di","raw_foldTb159Di","raw_foldGd160Di","raw_foldDy161Di","raw_foldDy162Di","raw_foldDy163Di","raw_foldDy164Di","raw_foldHo165Di","raw_foldEr166Di","raw_foldEr167Di","raw_foldEr168Di","raw_foldTm169Di","raw_foldEr170Di","raw_foldYb171Di","raw_foldYb172Di","raw_foldYb173Di","raw_foldYb174Di","raw_foldLu175Di","raw_foldYb176Di","raw_foldBCKG190Di","raw_foldIr191Di","raw_foldIr193Di"
1,127,1.65183357411608,0.467537962419937,0,0,0,0,0,0.00821275940835211,0.179816312545476,0,0.146088581109919,0.146153924230017,0.0483445982534002,0,0,0,0.318801485028057,0.00496912788800604,0,0.112768256030395,0,0.223143388491763,0,0.802294368711407,0.0108825062943852,0,0.0073755057527422,0.274382585494782,0.0322639842496754,0,0,0,0,0.247312597919362,0.0125277401318091,0,0.00280502797135518,0,0.257128511113499,0,0,0,0.119362602231654,0,0,0,0.827116280313124,0.912386206702692,12.5620946884155,2.42379212379456,0,0,0,0,0,0.0410642586648464,0.90393453836441,0,0.733043849468231,0.733374059200287,0.241817161440849,0,0,0,1.62114596366882,0.0248457416892052,0,0.565037071704865,0,1.12499916553497,0,4.45588445663452,0.0544136054813862,0,0.0368778631091118,1.3891921043396,0.161347910761833,0,0,0,0,1.24920701980591,0.0626403391361237,0,0.0140251582488418,0,1.29985618591309,0,0,0,0.598231196403503,0,0,0,4.62351608276367,5.2217321395874,6.18065006482518,9.41419967312987,287.622737337161,578.714748247246,610.67877219964,181.016087725222,368.976193951585,186.548240842036,54.7578087644781,317.603113447915,53.1386246198485,58.812799928618,102.284160894962,243.182492224859,376.533596784996,170.360608994301,2.51708104333776,112.54822870999,192.718032676122,86.4131563344201,188.60000838597,8.88300495895155,223.992361289459,7.37215720724101,137.215952936431,392.481130200257,153.807252996078,47.0583472842339,111.982186461879,210.764182440786,250.218108161396,156.647620563084,177.581351783052,61.112839038838,126.537337030812,269.001610605478,177.862671866821,232.399273042857,44.6712077879165,224.182438653637,404.681765010766,240.485426784536,89.4903174514462,228.428843737643,185.640231266002,442.740624006203,4.63565012888457,3.84931088884526,0.149806549023308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
2,80,1.63258426275401,0.473749793018526,0,0,0,0,0,0.0280301549967922,0.221546649330774,0,0.187990572708852,0.189331960524077,0.0587467935970528,0,0,0,0.338962452381874,0,0,0.199250574347522,0,0.356552661462658,0,0.823042512263316,0.00882887913656933,0,0.0112317055251848,0.263957837007558,0.0308388637793728,0,0,0.0165600019494895,0,0.220479973320549,0.019534101759158,0,0,0,0.283200741110806,0,0,0,0.178024742067415,0,0,0,0.840966120009449,0.923404088396667,12.3045659065247,2.45835518836975,0,0,0,0,0,0.140169136226177,1.11681735515594,0,0.945499122142792,0.95232680439949,0.293902963399887,0,0,0,1.72745364904404,0,0,1.00286608934402,0,1.82077807188034,0,4.59581184387207,0.044144980609417,0,0.056159732863307,1.33517116308212,0.154219008982182,0,0,0.0828038044273853,0,1.11135375499725,0.09767672047019,0,0,0,1.43500775098801,0,0,0,0.894903242588043,0,0,0,4.71828150749207,5.30170917510986,6.24749203035205,9.36537936193374,441.554596071211,464.26401385504,628.521829320454,153.603983377856,324.816536939523,174.456730610668,49.4807636949982,515.563225916358,54.599486364763,50.6504772000423,97.8459935364119,211.222787840654,331.760743538741,186.236364990344,3.29285221534699,169.538331466138,168.069976846306,68.3182921367909,191.875452881489,5.56917311297681,186.765368577734,9.27887987165003,138.545067815648,262.556889751883,157.79443175849,47.3372848963412,113.232502409066,190.927106658054,275.033989180146,134.19873213059,173.925503376258,56.6179285370718,129.158012512007,265.188126940383,165.168190474794,329.656548663795,40.2219787652116,210.305644450981,208.415793589139,232.953010538637,85.5920217631161,361.059640115162,150.781892940137,440.325056406558,4.60323920267421,3.82183571941948,0.0943663300934227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
3,49,1.60435311403501,0.46108947710583,0,0,0,0,0,0.00119702955060926,0.186052091291365,0,0.23410407674391,0.14645027226699,0.0555714580674697,0,0,0,0.31492108266729,0.0180551255936701,0,0.11728752630948,0,0.421246844627424,0,0.809435900582038,0,0,0.0197687206901058,0.173194231503443,0.0283506351821979,0,0,0.0135659571825416,0,0.27274436792677,0.00874403524898215,0,0.00389771182380361,0,0.280403747111237,0,0,0,0.105458902988984,0,0,0,0.831750289056089,0.91699462715031,11.9340524673462,2.38801121711731,0,0,0,0,0,0.00598514918237925,0.935636639595032,0,1.18124139308929,0.734871685504913,0.278000324964523,0,0,0,1.60076177120209,0.0902805328369141,0,0.587783098220825,0,2.16908073425293,0,4.50382804870605,0,0,0.0988500416278839,0.870306968688965,0.141772165894508,0,0,0.0678318664431572,0,1.38069260120392,0.0437207333743572,0,0.0194886084645987,0,1.42046368122101,0,0,0,0.528272449970245,0,0,0,4.65512371063232,5.25510454177856,5.76799917894973,8.72027628265999,700,NA,451.116875324873,165.34836557465,467.911019540653,160.666085855634,58.5874669021481,295.468503381848,56.3961252482745,61.6021934471795,90.3725836295593,157.509077012119,507.793246588586,164.542018625055,4.69030676800701,104.35787751666,210.872318572897,87.1180201577509,184.448616133717,5.89337793072379,188.961909762998,12.834486632479,141.457147086346,172.771837922703,118.843776695396,72.6100903946573,112.252403823962,242.492867203826,564.457495941703,129.505378407451,170.078332010187,59.1310929215024,146.735364997928,212.509967959675,134.914804129898,273.391781280528,39.4714307028161,266.642222240796,250.348045076495,209.99087339246,96.8450951849064,223.186984625767,202.83237169404,470.303494241166,4.88828793123029,4.27727626394787,0.0577993771822214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
4,16,1.63479393142972,0.470643877719231,0,0,0,0,0,0.00767540771689149,0.170501344035211,0,0.174324605198326,0.184420362099665,0.0475250896458769,0,0.0349215425255741,0,0.349582670851548,0,0,0.105498519955941,0.00378957636964318,0.392078527912533,0,0.846144345127703,0,0,0.0097885662656094,0.154355570905498,0.0231731007650216,0,0,0.0248196011892018,0.00374896701643657,0.246440528473648,0.00740923602405005,0,0.0318952175465764,0,0.260499298111053,0,0,0,0.0677176711600018,0,0.0197558528623617,0,0.82945649821664,0.910089280119499,12.3336219787598,2.44107365608215,0,0,0,0,0,0.038377839140594,0.856808453798294,0,0.876062870025635,0.927338838577271,0.237715266644955,0,0.174643307924271,0,1.78373676538467,0,0,0.528488293290138,0.0189480632543564,2.01103520393372,0,4.75429153442383,0,0,0.0489436164498329,0.774849355220795,0.115880932658911,0,0,0.124110758304596,0.0187450107187033,1.24497312307358,0.0370470341295004,0,0.159503176808357,0,1.31729185581207,0,0,0,0.338860064744949,0,0.0987856909632683,0,4.63980007171631,5.20517778396606,4.35717919983628,10.2021431243682,400,400,400,223.449959012736,NA,141.537564831225,79.4033472593773,NA,63.5369089841319,53.3093378393336,116.419604354297,141.04368791332,26.1410211533989,177.675650334911,4.53572190912683,174.410489586667,187.244432215344,97.6882451383074,129.37455900726,5.73647799140789,242.430819987919,20.8999962211559,186.623870871403,217.092036749056,135.458183495429,83.0515293779549,121.072177591082,160.961830008154,400,109.212115260655,143.145126158662,61.9511511950146,131.741614477113,273.507793204851,94.7760961446415,300.438268803618,57.4103854155498,229.084958011128,186.459218314895,207.619138724984,134.609853730185,229.044749917575,127.5919902719,400,5.62678004129063,5.00989304842936,0.0188732660186845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,1,1
5,56,1.5984986410751,0.476745330732514,0,0,0,0,0,0,0.15747613729715,0,0.237461747023735,0.123917576380819,0.0341024763490497,0,0,0,0.372066155492586,0.00143994462005338,0,0.104864890970023,0,0.430695497303423,0,0.803369100752415,0.0178578477516926,0,0.00495468031656466,0.212155604744171,0.0347637650099715,0,0,0,0,0.233040358056955,0.0225952388263707,0,0.0276315004028959,0,0.310899989052235,0,0,0,0.139739419335193,0,0.000582768294361792,0,0.830416433190904,0.917190915606834,11.8585529327393,2.47506749629974,0,0,0,0,0,0,0.79064068198204,0,1.19850271940231,0.621176511049271,0.170545436441898,0,0,0,1.90355098247528,0.00719973305240273,0,0.5252865254879,0,2.22067558765411,0,4.4630970954895,0.0892940424382687,0,0.0247735036537051,1.06880784034729,0.173854030668736,0,0,0,0,1.17595547437668,0.112985894083977,0,0.138175465166569,0,1.57966530323029,0,0,0,0.701065987348557,0,0.00291384180309251,0,4.64602446556091,5.25653433799744,5.76288865984094,9.6394554751022,354.190789244446,748.331477354788,460.842015890159,161.251710565753,291.497722148942,161.041305785543,65.4953708455281,301.736025849337,46.1747268341378,73.7281935248664,112.381225134605,204.121447359617,716.043492267498,161.284596984405,3.88214392019547,119.825035444752,179.861581432083,89.2341370761714,199.900024909701,4.97974378204682,289.557058824786,10.3731482481824,127.818992951702,236.235610118062,138.518474613682,71.1276562840911,103.888351784548,216.022736852105,251.056111133206,151.57731995699,180.366166336083,57.1201390029874,110.618811261734,266.980692845152,201.352372497853,303.997280762678,42.0939353105847,193.443809405536,197.815491640715,175.42933705922,93.079896474097,192.559785600537,150.657239989526,748.331477354788,5.4802707494652,4.73370098966972,0.0660564310653959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,1,1
6,56,1.61752569498756,0.46108947710583,0,0,0,0,0,0.0198587438451847,0.0826906901309245,0,0.496169152408492,0.169537684254163,0.0668666986438862,0,0,0,0.33654460905596,0,0,0,0,0.571917537629193,0,0.70511448767176,0,0.0159581928516047,0.00409279383463044,0.00693182756017028,0.0249249588353498,0,0,0.00811816420513195,0,0.205171752478762,0.0202592972792955,0,0.0249012278330777,0,0.390135293827294,0,0,0,0.0883777057481994,0,0,0,0.827869637583811,0.917639199023543,12.1055374145508,2.38801121711731,0,0,0,0,0,0.0993021316826344,0.41392494738102,0,2.58389687538147,0.851759642362595,0.334582716226578,0,0,0,1.71466827392578,0,0,0,0,3.01804757118225,0,3.825066447258,0,0.0797943510115147,0.0204640571027994,0.0346594247967005,0.124639436602592,0,0,0.0405912715941668,0,1.03307205438614,0.10130388662219,0,0.124519076198339,0,2.00054830312729,0,0,0,0.442464545369148,0,0,0,4.62864780426025,5.25978136062622,6.79933370475487,9.0149599431703,429.489583943421,748.331477354788,708.916337372772,151.834667002476,360.871459060154,128.498494457833,76.2925017372973,271.317342126115,25.1161676963466,60.0765750426986,86.3353476719066,204.853039211681,652.833887672238,205.576035535482,3.72372965354104,141.168944651064,195.658100477185,153.757770805917,176.67175676158,3.41363376987702,278.323564056425,12.3329660162094,183.718340611356,123.776181548916,140.258980750477,144.468761502724,120.912278085462,216.98461976634,269.88136542029,144.646024339398,199.072800237693,65.2027663959657,133.217513045287,237.108817123931,131.983030005479,261.140017617238,30.9264469903325,218.704184033719,239.644360940536,230.81829310329,106.147019922821,242.344539455421,189.160027382497,404.918938860744,4.91605086052253,4.44394382823619,0.0660564310653959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
7,38,1.64923023903699,0.467537962419937,0,0,0,0,0,0,0.0737218292665639,0,0.377974622636981,0.0872515108724949,0.0393870789041857,0,0,0,0.335975785312534,0.00185416008997584,0,0.0168242688455219,0,0.507438717544019,0,0.698357990952255,0.000195814850391269,0,0.00184594401846491,0.0274570497892372,0.0204194938063906,0,0,0.0115387222993367,0,0.214670835755154,0.0401645499737103,0,0.0258242775403443,0,0.341954993352924,0,0,0,0.11317484942208,0,0,0,0.820781664959774,0.905531027963501,12.5269393920898,2.42379212379456,0,0,0,0,0,0,0.368969663977623,0,1.93519675731659,0.436814397573471,0.196986317634583,0,0,0,1.71166187524796,0.00927082169800997,0,0.0841259509325027,0,2.64749097824097,0,3.78261864185333,0.000979074276983738,0,0.00922974105924368,0.137302868068218,0.102104775607586,0,0,0.0576949920505285,0,1.08171939849854,0.200878158211708,0,0.129135821014643,0,1.74330562353134,0,0,0,0.567090272903442,0,0,0,4.58047437667847,5.17229747772217,5.31739531328086,10.3335300759586,263.862806590788,444.442066955431,446.087241571668,193.986752127949,347.619209287212,183.477133365553,112.077455387293,308.891343336086,45.7906230019056,85.8770408550042,119.509659254458,245.976401419413,432.813936728081,218.689795640492,3.521267140585,138.5011572368,180.609528242409,139.845359793629,232.282120110738,3.96786482502908,210.986974773335,12.4771193543028,150.528756660133,201.938384857547,150.667322256513,142.168021368545,124.854601129804,225.599878810908,381.261263947546,153.954711624643,195.088872579991,63.900701754798,112.453320608083,271.339562576995,138.63609812745,333.498029244412,37.3984265204115,213.309851743139,253.706218376768,205.903244529224,95.3359443259695,359.289506320724,179.462621779437,564.890083716874,4.64383096957563,4.10316738313427,0.0448240067943758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
8,47,1.6531910099668,0.485525497569824,0,0,0,0,0,0.00821720650985114,0.0905848394662296,0,0.531747694884508,0.168956859972509,0.0492042367765398,0,0,0,0.362640243856645,0,0,0,0,0.62685897346994,0,0.729727926127719,0,0.0299913325639661,0.0314914684833521,0.0192241420551164,0.0210971008483595,0,0,0.00208134202888464,0,0.221510871423712,0.0210085807465643,0,0.03856219909156,0,0.403488168554887,0,0,0,0.0970855899873437,0,0,0,0.825261556467453,0.915721567014131,12.5804595947266,2.52413749694824,0,0,0,0,0,0.0410864949226379,0.453543871641159,0,2.78581738471985,0.84880930185318,0.246120467782021,0,0,0,1.85320508480072,0,0,0,0,3.34363722801208,0,3.98118996620178,0,0.149979144334793,0.157483369112015,0.0961266309022903,0.105493329465389,0,0,0.0104067176580429,0,1.11663401126862,0.105050630867481,0,0.192858785390854,0,2.07262897491455,0,0,0,0.486190885305405,0,0,0,4.61089324951172,5.24587440490723,5.34283765775551,10.596750246978,483.199734591578,685.565460040105,685.565460040104,144.653444925709,388.850374835267,134.664430622263,86.6234995360118,281.909599788126,20.8031873556598,52.7117931147451,97.5079222893154,197.789134491713,509.536235389762,250.928284514449,4.22864063766697,131.72867036077,208.981433350712,176.722949281786,225.093891897847,2.83770792100201,241.335036784622,7.58946754563679,169.231133360648,122.07731408973,135.02860444526,136.95552064776,113.898772845578,170.824626150445,482.138404711256,159.939253463865,231.152246568489,62.9462626580298,130.021231153572,227.38222469591,111.109191031477,252.016139135985,31.8826330334216,200.638759977311,198.895086051521,210.071022841241,101.958839629322,447.551397315216,191.565922827008,408.504920637346,5.84447715354759,4.84041726625014,0.0554402189298858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
9,46,1.65111786315005,0.473749793018526,0,0,0,9.02465306910327e-05,0,0.000346370875140387,0.081416442691495,0,0.467171431768657,0.109678038230903,0.0498471248013446,0,0,0,0.38878028721349,0.0060439112320636,0,0.000158627468294259,0,0.573463671449859,0,0.736707095007395,0,0.00803535796223149,0.0279439284045997,0.0216336062131663,0.0349546592739578,0,0,0.0105065428539894,0,0.188445787005258,0.0135082381874454,0,0.0368923263433104,0,0.38688637255849,0,0,0,0.152570832482085,0,0,0,0.826513374994316,0.906032099613297,12.5524272918701,2.45835518836975,0,0,0,0.000451232655905187,0,0.00173185451421887,0.407532155513763,0,2.4218385219574,0.549502998590469,0.249357752501965,0,0,0,1.99324303865433,0.0302202170714736,0,0.000793137354776263,0,3.02708113193512,0,4.0258994102478,0,0.0401772223412991,0.139737956225872,0.108176667243242,0.174811497330666,0,0,0.0525338277220726,0,0.947821050882339,0.0675432458519936,0,0.184503674507141,0,1.98305290937424,0,0,0,0.765825569629669,0,0,0,4.61942434310913,5.17589998245239,4.11362752599902,8.49041932451153,340.273525747203,678.232998312527,678.232998312527,144.113201593918,678.232998312527,170.061452608064,81.7106942783918,201.144909607173,25.3365723960277,76.7318265120641,100.734253386269,351.422112262962,678.232998312527,240.371094062236,3.20766907241359,112.671246812559,186.48549791691,162.905413053902,185.256447789721,3.52095703204258,200.428773224143,7.98194699613064,218.731748865852,150.273712153854,112.559765861819,126.153394355265,115.608347296723,250.777344866605,308.177931228885,121.855123886153,200.149495140238,76.2419831296178,140.286488278921,287.302099377212,109.348759760029,263.808771299524,38.8778475046919,188.804037617853,219.127194158848,182.195124801325,86.9208545805149,332.347812798727,162.517733406961,678.232998312527,4.18872575938763,3.58646224100022,0.054260639803718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
10,32,1.64705133923656,0.467537962419937,0,0,0,0,0,0.0344466758322119,0.130282795902597,0,0.53715660467621,0.188433118816736,0.0605654703184915,0,0,0,0.366051494751714,0.0716968146248133,0,0.0158181394574993,0,0.618645747514357,0.00649079264082334,0.737411100450757,0,0.0712480405931111,0.0107911031961569,0.0165700495431773,0.0355741961827241,0,0,0.013535029051973,0.0103460929527079,0.179342958908926,0.0460673986999974,0,0.039432679467044,0,0.440859667217233,0,0,0,0.125279011278765,0,0,0,0.849969457012243,0.929239743382877,12.497579574585,2.42379212379456,0,0,0,0,0,0.172271855175495,0.653258472681046,0,2.81683659553528,0.947751671075821,0.303033575415611,0,0,0,1.87140601873398,0.358791321516037,0,0.0790948197245598,0,3.2943549156189,0.0324542112648487,4.03041481971741,0,0.35654254257679,0.0539569314569235,0.0828566551208496,0.177908927202225,0,0,0.0676777958869934,0.0517317149788141,0.901530981063843,0.23041970282793,0,0.197214797139168,0,2.27641344070435,0,0,0,0.628035187721252,0,0,0,4.78037548065186,5.34432935714722,3.71476797632403,9.48871068654933,316.23841492981,402.223403077511,377.764788265619,173.009136330054,463.542027458518,106.779761428915,75.1773091019712,432.534124742388,22.481466617215,43.517258863183,94.161690605274,168.049305922627,397.144688050666,185.995407139286,3.88463885966287,33.3990297540792,179.54517788476,145.436963618384,218.554496229924,4.25616107569911,138.708043225309,10.7045782967514,155.060218987588,80.1193240561352,165.331821105584,149.881179290548,109.569250833908,222.104021299071,295.90423678009,123.460098783723,139.610883556024,69.5011573533736,106.249385506742,283.886241761433,124.190522987156,270.367326954329,29.9331834546085,188.630677562523,213.977066360823,164.044202920834,103.178485467038,249.187225234016,225.130117755921,NA,5.20008829519456,4.4936242729652,0.0377465320373691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1
