-597	-1002
-578	-1028
-483	-503
-348	-491
-379	-392
-599	1
-300	-541
-596	-600
-590	-1004
-812	-816
-603	-1049
-720	-913
-394	-550
-298	-552
-591	-1005
-488	-499
-889	-946
-303	-306
-389	-542
-424	-524
-673	-674
-296	-553
-844	-846
-539	-543
-839	-845
-497	-501
-604	-1047
-865	-923
-885	-938
-598	8
-382	-390
-241	-246
-138	-153
-701	-1023
-345	-498
-307	16
-571	-976
-429	-528
-601	6
-430	-436
-421	-523
-41	-118
-849	10
-301	-549
-1007	-1009
-530	-532
-614	-1050
-305	18
-580	-997
-593	-1027
-984	-987
-353	-548
-657	-1026
-409	-412
-681	-834
-587	-977
-594	-1010
-386	-544
-786	-817
-369	-371
-323	-337
-354	-381
-668	-697
-297	-559
-352	5
-567	-978
-666	-685
-355	19
-579	-1013
-445	-448
-309	-346
-55	-205
-813	-818
-1031	50
-566	-569
-462	-478
-137	-768
-1011	57
-687	-836
-189	-217
-574	-575
-405	-407
-884	-933
-269	-271
-688	-783
-907	-936
-584	-955
-686	-850
-826	-851
-809	-815
-588	-988
-595	-968
-683	-837
-670	21
-2	-130
-388	-540
-406	-531
-415	-426
-339	-347
-125	-179
-562	-982
-521	20
-156	-158
-677	-775
-44	-46
-948	-952
-694	-698
-466	-467
-585	-957
-370	-378
-255	-398
-492	-502
-576	-1025
-311	-330
-645	-704
-586	-986
-1034	-1038
-13	-152
-334	-335
-451	-452
-717	-992
-428	-533
-74	-75
-380	-393
26	36
-1	-206
-639	-641
-621	-754
-723	-725
-317	-319
-700	-1021
-39	-187
-979	37
-474	-477
-827	-828
-416	-529
-431	-438
-433	40
-726	-857
-432	-435
-634	-998
-63	-65
-560	-841
-454	-461
-792	-852
-78	-81
-76	-77
-853	-859
-4	95
-458	-475
-1018	9
-711	-905
-671	67
-969	-1019
-1039	-1052
-48	-50
-295	-527
-42	-52
-888	-937
-695	-696
-126	-177
-364	-383
-940	28
-249	-250
-838	79
-643	-702
-310	-349
-760	-791
-555	7
-228	-229
-887	-966
-748	-749
-537	-554
3	48
-375	-385
-926	-967
-746	-747
-962	-963
-365	-366
-693	63
-689	-776
-218	-220
-646	-715
-810	90
-856	-858
-644	-705
-568	-678
-103	-106
-302	64
-663	-718
-308	4
-413	54
-667	94
-60	-61
-897	-911
-676	-840
-721	-722
-833	-847
-570	-660
-779	-780
-873	-919
-879	-890
-802	-804
-420	-437
-642	-662
23	25
-592	-1017
-661	-1008
-970	-971
-1051	155
112	125
-831	-832
-682	-795
-163	-168
-615	-619
-535	-536
-25	-62
-89	-90
-299	22
-224	-226
-219	-231
-1003	-1014
-157	-160
-622	-623
-943	-945
-275	-278
-980	-994
-908	-935
-517	-525
-610	-611
-447	70
-866	-869
-408	-410
-1029	74
-605	-606
-201	146
-772	-774
-14	-15
-423	-434
-609	11
-714	-854
-464	-481
-314	-315
-485	-496
-583	51
-861	-862
-650	-691
-45	-79
-803	203
-411	-414
-43	42
-8	-134
-563	-565
-627	-628
52	65
30	39
-507	-518
-739	-741
-59	-112
115	183
-651	53
-422	41
-510	-511
-340	-341
-129	-167
-672	-781
-761	-771
-842	196
-629	-750
-329	-344
-906	152
-1022	34
-504	-506
-811	-843
-72	-213
-202	-203
-558	44
-84	-85
-617	-618
-417	-547
24	68
-331	99
-656	-664
-582	69
-947	-995
-953	-954
-453	-456
-864	-924
-1012	45
-40	-176
2	234
-934	83
-777	-835
-322	-325
-193	-194
-351	-495
-332	191
-763	-765
-635	-636
-404	-484
-872	-874
-633	-1001
-9	-150
-240	-245
-7	-135
-47	-53
-31	-109
-589	91
-159	-251
-631	-1000
-625	-626
-513	84
-105	188
-806	-808
-258	-259
-901	29
-183	-184
-520	102
-235	-236
-313	-316
-647	-659
-493	173
-284	-287
107	160
-652	-1032
-403	-505
-446	231
-362	-363
-640	-658
-489	-490
-793	-799
-83	-98
-318	-321
-1015	283
-648	-649
-68	-69
-500	137
-669	127
98	138
-482	242
-814	-848
-239	-247
-867	-877
-564	253
-32	-104
-460	-465
-1006	15
-327	114
-86	332
55	93
-290	-291
56	133
-770	177
-1020	131
-742	-745
-199	-225
-234	-237
-892	-893
-855	185
-825	135
-914	-916
-459	150
-294	101
-207	126
-733	-735
-1035	117
-463	-472
-880	-883
-744	269
-6	-17
-1045	-1046
-993	121
-941	-942
-395	-397
-200	72
-292	-293
43	73
-956	245
-304	174
-975	-1030
-139	-140
-93	-97
-876	301
78	289
-740	258
-80	248
-512	312
-1041	-1044
85	200
-784	-790
-514	-515
-133	-136
-326	-328
-690	-692
-49	-51
-288	-470
-882	-931
-418	136
-958	-972
-5	-132
-209	-211
-973	-974
-221	-223
46	157
-708	-709
-289	-981
-577	210
-751	-860
-516	257
-64	142
-444	31
165	213
-253	-254
-399	-401
-172	-173
-242	32
-797	293
-752	267
88	89
-260	-261
-343	134
-773	237
-70	-71
-178	290
-212	-214
-280	-281
-427	-449
-123	-124
-263	106
-616	-755
-120	-122
-142	-143
-480	-1036
-204	105
14	219
-561	-613
-20	-91
-387	-538
-117	-119
-680	181
-440	-441
-468	-469
-277	226
-719	-932
-637	-829
-950	429
-654	-716
-243	-244
-210	401
-12	-151
-778	-782
-111	-208
-729	-730
-573	-699
-357	-359
38	122
77	298
-886	86
-455	76
-374	-376
198	206
49	141
-439	337
-706	-707
199	208
-895	-896
109	151
120	144
-57	-58
-128	161
-19	370
-728	-902
-743	355
-10	118
-965	171
-131	-154
-216	80
-333	119
-910	-915
-164	-252
82	192
59	341
-1033	-1042
-28	-29
108	346
-868	232
-794	268
-805	249
12	361
-196	-198
-191	295
-384	62
-756	-757
-1016	207
153	193
-276	443
92	209
-232	304
-602	27
-248	164
-655	447
156	306
-54	-66
-819	-820
-367	-373
-684	394
-764	-766
-274	-282
-789	-800
-181	-188
-734	365
81	143
229	262
-476	421
-620	279
97	250
-712	260
-21	194
-608	325
-169	-238
-16	437
-486	379
-990	-996
-227	403
-759	422
-983	116
272	354
-356	-358
35	71
-638	299
-180	-186
-166	214
-939	163
-556	233
-944	225
-959	-960
-713	464
103	223
-927	-928
145	390
-146	-147
-35	-36
-182	-190
169	189
-457	-471
-753	353
-419	-473
205	321
-607	-653
201	343
-949	-1037
-796	331
60	110
240	499
-116	-127
162	179
-67	217
-830	445
-100	-101
184	377
-822	-823
-312	167
-878	-918
-336	-338
-170	-171
-425	463
-148	-149
132	276
273	326
-801	-824
-900	368
220	221
277	280
-23	-27
140	339
149	400
-479	442
-320	333
-222	-324
-863	-920
-703	517
159	292
-903	-912
364	375
-675	187
-899	358
-724	139
-1043	371
-161	-162
-665	212
-99	382
-230	342
-391	411
-155	538
-581	-632
215	335
-624	311
-494	-534
166	186
66	352
-92	521
-286	376
230	235
-443	-545
-787	-788
